Primary Industry Type,,Employer,Doing Business As,Workforce Size,Number of Hiring Sites,Hiring Site Locations (by state)
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Katz Millenium Sales and Marketing,,100 to 499,17,"CA, CO, DC, FL, GA, IL, MA, MI, MN, MO, NC, NY, PA, TX"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Katz Millennium Sales & Marketing Inc.,,20 to 99,255,"AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, TN, TX, UT, VA, WA, WI, WV"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Kaufman Hall and Associates LLC,,100 to 499,7,"CA, CO, CT, GA, IL, OR"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","KAYA Associates, Inc.",,100 to 499,10,"AK, AL, CA, CO, DC, HI, KY, OK, SC, VA"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Kaztronix, LLC",,100 to 499,27,"AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, IL, MA, MD, MI, MN, NC, NH, NJ, NY, OH, PA, SD, TN, TX, VA, WV"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Kazuhm, Inc.",,10 to 19,2,"CA, CO"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","KBI Biopharma, Inc.","KBI Biopharma, Inc.",500 to 999,2,"CO, NC"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",KBM Group,,500 to 999,10,"CO, KS, MA, MO, NY, TN, TX, WA"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",KCI Technologies Inc.,,"1,000 to 2,499",39,"CO, DC, DE, FL, GA, IL, IN, MD, NC, NJ, NV, NY, OH, PA, SC, TN, TX, UT, VA, WI"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Keen Independent Research LLC,,10 to 19,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Keith D. Vance, PC",Vance and Larson Law Firm,5 to 9,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Kelmar Associates, LLC",,100 to 499,4,"CO, DE, MA"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Kelmar Associates, LLC",,100 to 499,6,"CA, CO, DE, MA, NJ, PA"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","KEMWEST, Inc.",,5 to 9,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Kendig Keast Collaborative,,5 to 9,4,"AZ, CO, OK, TX"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Kennedy and Coe, LLC",,100 to 499,11,"CO, KS, OK"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Kennedy/Jenks Consultants, Inc.",,500 to 999,21,"CA, CO, HI, KS, MT, NE, NV, OR, TX, WA"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Kenney & Associates Inc.,Kenney & Associates Inc.,5 to 9,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Kenny Electric Service,,100 to 499,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Kett Engineering Corporation,,500 to 999,16,"AK, AZ, CA, CO, MA, MI, MN, NJ, NV, NY, TX"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Key Human Resources, LLC",,500 to 999,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Key Management Systems, Inc.",,5 to 9,2,"CA, CO"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Keymark Enterprises LLC,,20 to 99,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Keysight Technologies,,"2,500 to 4,999",26,"AZ, CA, CO, FL, IL, MA, MD, NC, NJ, NY, OH, TX, WA"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Kforce Flex Existing,,"2,500 to 4,999",54,"AZ, CA, CO, CT, DC, FL, GA, IA, IL, IN, KS, KY, MA, MD, MI, MN, MO, NC, NJ, NY, OH, OR, PA, RI, TX, UT, VA, WA, WI"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Kforce Flexible Solutions Englewood,,20 to 99,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Ki, LLC",,100 to 499,3,"CO, VA"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Kiewit Engineering Group Inc.,,"1,000 to 2,499",43,"AL, AZ, CA, CO, FL, GA, ID, KS, MD, MN, NE, NJ, OH, OR, PA, TX, WA"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Kilpatrick Townsend & Stockton LLP,,"1,000 to 2,499",13,"CA, CO, DC, GA, NC, NY, WA"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Kilpatrick Townsend & Stockton LLP,,"1,000 to 2,499",13,"CA, CO, DC, GA, NC, NY, WA"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Kilpatrick Townsend & Stockton LLP,,"1,000 to 2,499",15,"CA, CO, DC, GA, NC, NY, TX, WA"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Kined Systems Inc,,10 to 19,4,"CO, NJ, NY, PA"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Kineticorp LLC,,20 to 99,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Kinetics Geospatial LLC,,10 to 19,21,"AK, AL, CO, FL, TN, WI"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","KinetX, Inc.",,20 to 99,4,"AZ, CA, CO, VA"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","KING SURVEYORS, INC.",,20 to 99,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Kingsbery, Johnson & Love, LLP","Kingsbery, Johnson & Love, LLP",5 to 9,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Kingsford Law Offices,,5 to 9,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Kiowa Engineering Corporation,,10 to 19,2,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Kisaq, LLC",,20 to 99,7,"AL, AZ, CA, CO, ID, NC, TX"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Kissinger & Fellman, P.C.",,10 to 19,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Kivu Consulting,,20 to 99,5,"CA, CO, DC, NY, TX"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","KL&A, Inc",,20 to 99,4,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","KLD Associates, Inc.",,20 to 99,13,"AL, AZ, CA, CO, IL, IN, NE, NY, TX, WA"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Klein Buendel, Inc",,20 to 99,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Kleinfelder, Inc.","Kleinfelder, Inc.","1,000 to 2,499",54,"CA, CO, CT, FL, GA, MA, MD, ME, MI, NC, NH, NJ, NV, NY, OH, OK, PA, TX, UT, WA, WV"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",KLJ Solutions Holding Co.,,500 to 999,23,"CO, FL, MN, MT, ND, SD, WY"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Knight Piesold and Co.,,20 to 99,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Knoll & Company, P.C.",,5 to 9,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Knott Laboratory, LLC",,20 to 99,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Knowledge Factor, Inc",,20 to 99,6,"AZ, CO, IN, MN, OH, TX"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Kolko & Associates, P.C.",,20 to 99,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Kosei,"Kosei, Inc",5 to 9,2,"CA, CO"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Kosh Solutions,,20 to 99,4,"CO, NM"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",KPA Services LLC,KPA LLC,100 to 499,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",KPMG LLP,,"10,000 and over",10,"AZ, CO, GA, MA, MN, MO, MS, OK, RI"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Kratos Government Solutions Inc,,"1,000 to 2,499",46,"AL, CA, CO, FL, GA, HI, IN, NM, OH, OK, PA, TX, UT, VA, WA"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Kristin L Flewelling CPA PC,,10 to 19,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Kroll Factual Data, Inc.",,100 to 499,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Kroll Government Services,,100 to 499,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Kronsys Inc,,20 to 99,6,"CO, IL, MN, NC, ND, TX"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","KS Automotive Engineering, Inc",,5 to 9,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",KTGY Group of Colorado Inc.,,20 to 99,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","KTGY Group, INC","KTGY Group, INC",100 to 499,5,"CA, CO, VA"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",KTH Holdings Inc.,Vangst,100 to 499,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Kumar & Associates, Inc",,20 to 99,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Kutak Rock LLP,,500 to 999,15,"AR, AZ, CA, CO, DC, GA, IA, IL, KS, MO, NE, OK, VA"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",L-3 Communications,,100 to 499,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",L-3 Communications Intelligence Solutions Division,,"1,000 to 2,499",100,"AL, AZ, CA, CO, DC, FL, GA, HI, IN, KS, LA, MA, MD, MI, MN, NC, NE, NJ, PA, SC, TN, TX, UT, VA, WA, WI"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",L-3 Communications/D.P. Associates Inc.,,20 to 99,29,"AZ, CA, CO, FL, HI, MD, NC, NM, TX, VA"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","L2 Aerospace, LLC",L2 Aerospace,20 to 99,3,"CA, CO, FL"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",L3Harris Technologies - Parent,,"10,000 and over",20,"CA, CO, FL, IL, MD, NC, NE, NY, OH, OK, PA, TX, VA"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",LABOR SYSTEMS TEMPORARY SERVICES,,100 to 499,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Lakewood Pathology Associates, Inc.",PLUS Diagnostics,100 to 499,10,"AL, AZ, CO, FL, GA, IN, NC, NJ, TN, TX"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","LAMP RYNEARSON, INC.",,100 to 499,4,"CO, MO, NE"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Land Services Inc.,,20 to 99,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","LANDMARK CONSULTANTS, INC",,5 to 9,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Landmark Engineering Ltd,same,10 to 19,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Landpoint, LLC","West Company of Midland, Landpoint, LLC, King Surveyors",100 to 499,8,"AR, CO, LA, TX"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Landrum & Brown, Inc.",,100 to 499,26,"AZ, CA, CO, FL, HI, IA, IL, KS, MA, MD, MN, MO, NC, NY, OH, PA, TN, TX, UT, VA"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","LandWorks, Inc.",,20 to 99,2,"CO, TX"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",LaneTerralever LLC,LaneTerralever,100 to 499,2,"AZ, CO"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","LANGUAGE NEXUS, INC.",,5 to 9,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","lark Information Technology, Inc",,10 to 19,11,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Larx Advisors, Inc.",,20 to 99,4,"CO, FL, GA, TX"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Laserent, Inc.",,20 to 99,5,"AZ, CA, CO, NM, NV"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Lathrop & Gage LLP,,500 to 999,13,"CA, CO, DC, IL, KS, MA, MO, NY"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Lathrop & Gage LLP,,500 to 999,10,"CA, CO, IL, KS, MA, MO"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Law Office of Kevin C. Flesch LLC,,5 to 9,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Law Offices of Gary M Gilbert & Assoc,,20 to 99,2,"CO, MD"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Law Offices of Michael Yi and Associates P.C.,,5 to 9,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Lawrence H. Finn & Associates, Inc.",,10 to 19,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","LBMC Employment Partners, LLC",,"1,000 to 2,499",95,"AL, AZ, CA, CO, FL, GA, IL, KS, KY, MD, MS, NC, NJ, NV, NY, OH, SC, TN, TX, VA"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",LCRX LLC,ALPHA DIRECT COMPOUNDING,20 to 99,21,"AL, AR, AZ, CO, CT, FL, GA, IL, KS, MA, MD, NC, NV, OH, OR, PA, SC, SD, TN, WI, WY"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Lea+Elliott, Inc.",,20 to 99,13,"AZ, CA, CO, FL, GA, IL, NJ, NY, PA, TX, VA"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Leafguard Holdings Inc,,100 to 499,22,"CO, GA, ID, IL, KS, KY, MA, MD, MO, NC, NJ, NY, OH, OR, PA, TN, WA"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Leavenworth & Karp,,20 to 99,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",LeClairRyan,,500 to 999,28,"CA, CO, CT, DC, DE, GA, IL, MA, MD, MI, NJ, NV, NY, PA, RI, TX, VA"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Legal Aid National Services, Inc.",,20 to 99,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Leidos, Inc.",,"10,000 and over",52,"AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Leidos, Inc.",,"10,000 and over",51,"AK, AL, AR, AZ, CA, CO, CT, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MP, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VI, VT, WI, WV, WY"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Leif Associates, Inc.",,10 to 19,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Leman Classical School,,20 to 99,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",LENA Research Foundation,,20 to 99,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Leo A Daly Company,,500 to 999,23,"CA, CO, DC, FL, HI, IL, MI, MN, NE, NV, TX"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Leonard Rice Engineers, Inc.",,20 to 99,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Leonard Rice Engineers, Inc.",,20 to 99,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Leppert Associates,,5 to 9,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Lerch Bates Inc.,,5 to 9,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Lerch Bates Inspection Services,,20 to 99,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Lerch Bates Inspection Services LLC,,10 to 19,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Lester, Sigmond, Rooney & Schwiesow",,5 to 9,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Lettis Consultants International Inc.,LCI,20 to 99,4,"CA, CO, GA"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Level 3 Communications, L.L.C.",,"5,000 to 9,999",1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Lewan & Associates,,100 to 499,9,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Lewan & Associates,,100 to 499,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Lewis Roca Rothgerber Christie LLP,,500 to 999,10,"AZ, CA, CO, NM, NV"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Lewis Roca Rothgerber Christie LLP,,100 to 499,10,"AZ, CA, CO, NM, NV"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",LFL International Inc,,10 to 19,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Liberty Tax Inc,,500 to 999,102,"AZ, CA, CO, CT, GA, IA, IL, KS, KY, LA, MA, MD, ME, MI, MO, MT, NC, NM, NV, NY, OH, OK, OR, PA, PR, RI, TN, VA, WA, WI"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Library Associates Companies,LAC Group,100 to 499,2,"CO, MD"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Lifeai LLC,Lifeai LLC,5 to 9,5,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Light, Harrington & Dawes, P.C.",,10 to 19,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Lightly Treading Inc.,,20 to 99,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Lind, Lawrence & Ottenhoff LLP",,10 to 19,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Linde Gas North America LLC,,500 to 999,105,"AL, AZ, CA, CO, DE, FL, GA, IL, IN, KS, MA, MD, MI, NC, NJ, NY, OH, OK, PA, SC, TN, TX, UT, VA, WA, WI, WV"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Linde, Inc",,"1,000 to 2,499",134,"AL, AR, AZ, CA, CO, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, ME, MI, MN, MO, MS, MT, NC, NE, NJ, NM, NY, OH, OK, OR, PA, SC, TN, TX, UT, VA, VT, WA, WI, WV, WY"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Lindquist & Vennum PLLP,,100 to 499,2,"CO, MN"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Lindquist & Vennum PLLP,,20 to 99,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Linebarger Goggan Blair & Sampson, LLP",,"1,000 to 2,499",36,"AZ, CO, DE, FL, IL, MD, OH, PA, TN, TX, VA"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Lingoport, Inc.",,10 to 19,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Linkmont Technologies, Inc.",,20 to 99,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Lionbridge Technologies, Inc.",,"1,000 to 2,499",15,"AR, AZ, CA, CO, DC, ID, MA, MN, OR, PA, TX, WA"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","LiteracyPro Systems, Inc.",,5 to 9,2,"CO, SC"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Littlehorn Engineering, LLC","Littlehorn Engineering & Surveying, LLC",5 to 9,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Littler Mendelson PC,,"1,000 to 2,499",3,"CO, IN, MO"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Littler Mendelson, P.C.",,"1,000 to 2,499",12,"AL, AZ, CO, GA, IN, MO, NC, SC, TN"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Littleton Large Animal Clinic,Littleton Equine Medical Center,20 to 99,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",LiveOps,,100 to 499,50,"AK, AL, AR, AZ, CA, CO, CT, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",LKA Partners Inc.,,20 to 99,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","LKG-CMC, Inc.",,20 to 99,37,"CA, CO, FL, GA, HI, MN, NJ, NY, PA"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","LMI LANDSCAPES, LLC",,20 to 99,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Local Search Titan,,10 to 19,2,"CO, UT"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Location3 Media, Inc.",,20 to 99,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Lockheed Martin Enterprise Operations,,"2,500 to 4,999",12,"CA, CO, FL, MD, MS, NC, TX, VA"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Lockheed Martin Enterprise Operations,,"10,000 and over",12,"CA, CO, FL, MD, MS, NC, TX, VA"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Locution Systems, Inc.",,10 to 19,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Lodging Solutions LLC,,100 to 499,4,"CO, NY"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Logan and Company, Inc.",,20 to 99,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Logan Simpson Design Inc.,,100 to 499,7,"AZ, CO, ID, NV, UT"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Logic Datasystems Inc.,LogicData,20 to 99,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Logic Tree, LLC",,10 to 19,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Logical Systems, Inc","Logical Systems, LLC",20 to 99,3,"CO, GA, TN"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",LogicNow,,100 to 499,6,"CA, CO, FL, MA, NC"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Logovision, Inc.",,10 to 19,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",LOGS Group LLC,,"1,000 to 2,499",33,"AL, AZ, CA, CO, CT, FL, GA, IL, KS, LA, MA, MD, ME, MN, MO, MS, NC, NJ, NY, OH, OK, OR, PA, TN, TX, VA, WA, WI"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Lone Wolf Real Estate Technologies, Inc",,20 to 99,4,"AZ, CO, NV, SC"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Long View Systems,,100 to 499,4,"AZ, CO, TX"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Long View Systems,,"1,000 to 2,499",1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Loonan and Associates, Inc.",,5 to 9,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Loris and Associates, Inc.",,10 to 19,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Lotus Concepts Management Corp,,20 to 99,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Louis Berger U.S.,,"1,000 to 2,499",15,"CA, CO, DC, FL, MA, MD, MO, NJ, NV, NY, PA, TX, VA, WA"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",LOUISVILLE DENTAL ASSOCIATES,,10 to 19,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Love & Associates, Inc.",,5 to 9,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Loveland Security and Patrol LLC,Loveland-Fort Collins Security,10 to 19,1,CO
