,CASE_NO,DECISION_DATE,NPC_SUBMITTED_DATE,CASE_STATUS,APPLICATION_TYPE,ALIEN_WORK_STATE,CERTIFICATION_BEGIN_DATE,CERTIFICATION_END_DATE,EMPLOYER_NAME,EMPLOYER_ADDRESS1,EMPLOYER_ADDRESS2,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_POSTAL_CODE,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_STATE,DOT_OCCUPATIONAL_CODE,JOB_TITLE,NBR_WORKERS_REQUESTED,NBR_WORKERS_CERTIFIED,PREVAILING_WAGE,PW_UNIT_OF_PAY,BASIC_RATE_OF_PAY,BASIC_UNIT_OF_PAY
2867,C-10181-50408,2010-07-23,2010-06-30,DENIED,H-2B,MO,2010-08-07,2011-01-01,"GRAND COUNTRY, INC. DBA GRAND COUNTRY INN",1945 WEST HWY 76,,BRANSON,MO,65616,ROGER K. MCCRUMMEN,N. KANSAS CITY,MO,321.137-010,HOUSEKEEPER,3.0,0,8.19,HR,8.19,HR
2868,C-09341-47542,2009-12-09,2009-12-07,CERTIFIED,H-2B,MO,2010-01-18,2010-11-17,OPIE'S LANDSCAPING,"1407 ACACIA CLUB RD., APT 2A",,HOLLISTER,MO,65673,LORI ANN WHITTEN,WYLIE,TX,408.687-014,"LABORER, LANDSCAPE",8.0,8,,,,
2869,C-09363-48252,2010-01-12,2009-12-28,PARTIAL CERTIFIED,H-2B,MO,2010-04-01,2010-12-14,"MILLS FOUNDATIONS, LLC",1811 NORTH MONET ROAD,,NIXA,MO,65714,ARTHUR G. CARR III,ST. LOUIS,MO,869.664-014,CONSTRUCTION WORKER I,50.0,27,10.25,HR,10.25,HR
2870,C-10034-49198,2010-02-18,2010-02-03,PARTIAL CERTIFIED,H-2B,MO,2010-04-01,2011-01-03,BIG CEDAR LODGE LLC,612 DEVIL'S POOL RD,,RIDGEDALE,MO,65739,JOSEPH YOUNG,GOFFSTOWN,NH,313.361-014,COOK,20.0,16,7.74,HR,7.74,HR
2871,C-10026-49052,2010-02-25,2010-01-26,CERTIFIED,H-2B,MO,2010-04-01,2011-01-03,BIG CEDAR LODGE LLC,612 DEVIL'S POOL RD,,RIDGEDALE,MO,65739,JOSEPH YOUNG,GOFFSTOWN,NH,321.137-010,HOUSEKEEPER,10.0,10,8.19,HR,8.19,HR
2872,C-10026-49043,2010-03-04,2010-01-26,DENIED,H-2B,MO,2010-04-01,2011-01-03,BIG CEDAR LODGE LLC,612 DEVIL'S POOL RD,,RIDGEDALE,MO,65739,JOSEPH YOUNG,GOFFSTOWN,NH,318.687-010,KITCHEN HELPER,10.0,0,7.39,HR,7.39,HR
2873,C-10057-49495,2010-03-11,2010-02-26,PARTIAL CERTIFIED,H-2B,MO,2010-02-01,2010-12-01,ROSALES MASONRY CO. LLC DBA MASONRY,4666 PFEIFFER CT.,,SPRINGFIELD,MO,65803,LEON VERSFELD,KANSAS CITY,MO,861.687-010,"BRICKLAYER HELPER, FIREBRICK AND REFRACTORY TILE",10.0,8,10.63,HR,10.63,HR
2874,C-10034-49183,2010-02-09,2010-02-03,PARTIAL CERTIFIED,H-2B,MO,2010-04-01,2010-11-30,WICKMAN'S GARDEN VILLAGE,1345 SOUTH FORT,,SPRINGFIELD,MO,65807,SARAH  E. FARRELL,VASS,NC,408.687-014,"LABORER, LANDSCAPE",40.0,33,,,,
2875,C-09302-46876,2009-11-05,2009-10-29,CERTIFIED,H-2B,KS,2010-02-01,2010-11-30,"EPIC LANDSCAPE PRODUCTIONS, L.C.",23933 W. 175TH ST.,,GARDNER,KS,66030,GINNY MUILENBURG/  LABOR CONSULTANTS INTERNATIONAL,POST FALLS,ID,408.687-014,"LABORER, LANDSCAPE",45.0,45,8.6,HR,8.6,HR
2876,C-09309-46997,2009-11-19,2009-11-05,PARTIAL CERTIFIED,H-2B,KS,2010-02-13,2010-12-13,"CURBY'S LAWN & GARDEN, LLC",14835 GARDNER RD.,"P.O. BOX 301, OLATHE, KS 66051",GARDNER,KS,66030,"ELIZABETH D. WHITLEY / MAS LABOR H2B, LLC",LOVINGSTON,VA,406.684-014,"GROUNDSKEEPER, INDUSTRIAL COMMERCIAL",20.0,19,8.6,HR,8.6,HR
2877,C-09356-47910,2009-12-28,2009-12-18,PARTIAL CERTIFIED,H-2B,KS,2010-04-01,2010-11-30,"EPIC LANDSCAPE PRODUCTIONS, L.C.",23933 W. 175TH ST.,,GARDNER,KS,66030,GINNY MUILENBURG / LABOR CONSULTANTS INTERNATIONAL,POST FALLS,ID,408.687-014,"LABORER, LANDSCAPE",45.0,42,8.6,HR,8.6,HR
2878,C-09362-48147,2009-12-30,2009-12-23,CERTIFIED,H-2B,KS,2010-04-01,2010-11-30,"LAWRENCE LANDSCAPE, INC.",600 LINCOLN STREET,,LAWRENCE,KS,66044,"ELIZABETH D. WHITLEY / MASLABOR H2B, LLC",LOVINGSTON,VA,408.687-014,"LABORER, LANDSCAPE",20.0,20,,,,
2879,C-09357-48024,2009-12-29,2009-12-22,CERTIFIED,H-2B,KS,2010-04-01,2010-11-30,REED DILLON & ASSOCIATES,1213 EAST 24TH,,LAWRENCE,KS,66046,ELIZABETH D. WHITLEY,LOVINGSTON,VA,408.687-014,"LABORER, LANDSCAPE",8.0,8,8.6,HR,8.6,HR
2880,C-10019-48840,2010-02-19,2010-01-15,DENIED,H-2B,KS,2010-04-02,2010-06-30,HICKERT FARM INC,5908 WHITETAIL COURT,,LAWRENCE,KS,66047,,,,862.684-018,PIPE FITTER HELPER,5.0,0,12.4,HR,12.4,HR
2881,C-09356-47886,2009-12-28,2009-12-18,CERTIFIED,H-2B,KS,2010-04-01,2010-11-30,"CANYON STONE, INC.",550 E. HWY 56,SUITE B,OLATHE,KS,66061,ELIZABETH D. WHITLEY,LOVINGSTON,VA,861.381-038,STONEMASON,12.0,12,12.85,HR,12.85,HR
2882,C-09316-47114,2009-12-08,2009-11-12,PARTIAL CERTIFIED,H-2B,KS,2010-02-15,2010-12-15,"SIGNATURE LANDSCAPE, INC",15705 SOUTH PFLUMM RD,,OLATHE,KS,66062,,,,408.687-014,"LABORER, LANDSCAPE",80.0,78,8.6,HR,8.6,HR
2883,C-09355-47829,2009-12-24,2009-12-17,PARTIAL CERTIFIED,H-2B,KS,2010-04-01,2010-11-15,"CUSTOM LAWN & LANDSCAPE, INC.",15204 SOUTH KEELER STREET,,OLATHE,KS,66062,ELIZABETH D. WHITLEY,LOVINGSTON,VA,408.687-014,"LABORER, LANDSCAPE",10.0,8,8.6,HR,8.6,HR
2884,C-09355-47809,2010-01-04,2009-12-17,PARTIAL CERTIFIED,H-2B,KS,2010-04-01,2010-12-15,"SIGNATURE LANDSCAPE, INC",15705 SOUTH PFLUMM RD,,OLATHE,KS,66062,,,,408.687-014,"LABORER, LANDSCAPE",60.0,59,8.6,HR,8.6,HR
2885,C-10055-49459,2010-03-22,2010-02-24,CERTIFIED,H-2B,KS,2010-02-01,2010-10-01,BUILDER'S STONE & SUPPLY,616 N. ROGERS ROAD,,OLATHE,KS,66062,LEON VERSFELD,KANSAS CITY,MO,861.381-038,STONEMASON,15.0,15,13.24,HR,13.24,HR
2886,C-09364-48332,2010-01-05,2009-12-29,CERTIFIED,H-2B,KS,2010-04-01,2010-12-31,MESSENGERS LANDSCAPE,7360 WEST 162ND STREET,SUITE 108,OVERLAND PARK,KS,66085,ELIZABETH D. WHITLEY,LOVINGSTON,VA,408.687-014,"LABORER, LANDSCAPE",22.0,22,8.6,HR,8.6,HR
2887,C-09355-47799,2009-12-23,2009-12-17,PARTIAL CERTIFIED,H-2B,KS,2010-04-01,2010-12-01,"KONRADY'S LAWN & LANDSCAPING, INC.",4512 SPEAKER ROAD,,KANSAS CITY,KS,66106,ELIZABETH D. WHITLEY,LOVINGSTON,VA,406.684-014,"GROUNDSKEEPER, INDUSTRIAL COMMERCIAL",38.0,36,8.6,HR,8.6,HR
2888,C-10200-50563,2010-08-06,2010-07-19,DENIED,H-2B,KS,2010-09-29,2011-06-01,HOME OWNER-SARA LECHTENBERG-KASTEN DBA SARA LECHTE,4100 W. 97TH ST.,,OVERLAND PARK,KS,66207,,,,355.674-010,"CHILD CARE ATTENDANT, SCHOOL",1.0,0,,,,
2889,C-09355-47807,2010-01-05,2009-12-17,PARTIAL CERTIFIED,H-2B,KS,2010-04-01,2010-12-15,"TOTAL QUALITY CONCEPTS, INC.",11713 KING STREET,,OVERLAND PARK,KS,66210,"THE LAW OFFICE OF JEFFREY S. BELL, P.C.",NORTH KANSAS CITY,MO,408.687-014,"LABORER, LANDSCAPE",3.0,2,8.6,HR,8.6,HR
2890,C-10132-50096,2010-06-09,2010-05-12,DENIED,H-2B,MO,2010-06-01,2010-10-31,"EXCHANGE BUSINESS SOLUTION, LLC",8600 W 95TH STREET,SUITE 104-3,OVERLAND PARK,KS,66212,"ROGER K. MCCRUMMEN, MCCUMMEN IMMIGRATION LAW GROUP",N. KANSAS CITY,MO,323.687-014,"CLEANER, HOUSEKEEPING",27.0,0,,,,
2891,C-10021-48914,2010-01-26,2010-01-20,CERTIFIED,H-2B,KS,2010-04-01,2010-11-15,CHALLENGER SPORTS CORP. D/B/A BRITISH SOCCER,8263 FLINT,,LENEXA,KS,66214,ROGER L. HIATT,KANSAS,MO,153.117-018,"SCOUT, PROFESSIONAL SPORTS",100.0,100,7.74,HR,7.74,HR
2892,C-09362-48191,2010-02-02,2009-12-24,DENIED,H-2B,KS,2010-04-01,2010-11-15,CHALLENGER SPORTS CORP. DBA BRITISH SOCCER,8263 FLINT,,LENEXA,KS,66214,ROGER L. HIATT,KANSAS CITY,MO,153.227-010,"COACH, PROFESSIONAL ATHLETES",99.0,0,7.74,HR,7.74,HR
2893,C-09362-48216,2010-02-02,2009-12-24,DENIED,H-2B,WA,2010-04-01,2010-11-15,CHALLENGER SPORTS CORP. DBA BRITISH SOCCER,8263 FLINT,,LENEXA,KS,66214,ROGER L. HIATT,KANSAS CITY,MO,153.227-018,"INSTRUCTOR, SPORTS",24.0,0,,,,
2894,C-09362-48220,2010-02-02,2009-12-24,DENIED,H-2B,GA,2010-04-01,2010-11-15,CHALLENGER SPORTS CORP. DBA BRITISH SOCCER,8263 FLINT,,LENEXA,KS,66214,ROGER L. HIATT,KANSAS CITY,MO,153.227-018,"INSTRUCTOR, SPORTS",24.0,0,,,,
2895,C-09362-48219,2010-02-02,2009-12-24,DENIED,H-2B,IL,2010-04-01,2010-11-05,CHALLENGER SPORTS CORP. DBA BRITISH SOCCER,8263 FLINT,,LENEXA,KS,66214,ROGER L. HIATT,KANSAS CITY,MO,153.227-018,"INSTRUCTOR, SPORTS",50.0,0,,,,
2896,C-09362-48163,2010-02-02,2009-12-24,DENIED,H-2B,TX,2010-04-01,2010-11-15,CHALLENGER SPORTS CORP. DBA BRITISH SOCCER,8263 FLINT,,LENEXA,KS,66214,ROGER L. HIATT,KANSAS,MO,153.227-018,"INSTRUCTOR, SPORTS",25.0,0,,,,
2897,C-10021-48922,2010-02-05,2010-01-21,CERTIFIED,H-2B,KS,2010-04-01,2010-11-15,CHALLENGER SPORTS CORP./ DBA BRITISH SOCCER,8263 FLINT,,LENEXA,KS,66214,ROGER L. HIATT,KANSAS,MO,153.227-018,"INSTRUCTOR, SPORTS",22.0,22,,,,
2898,C-10022-48964,2010-02-10,2010-01-22,CERTIFIED,H-2B,KS,2010-04-01,2010-11-15,CHALLENGER SPORTS CORP. DBA BRITISH SOCCER,8263 FLINT,,LENEXA,KS,66214,ROGER L. HIATT,KANSAS,MO,153.227-018,"INSTRUCTOR, SPORTS",21.0,21,,,,
2899,C-10021-48913,2010-02-10,2010-01-20,PARTIAL CERTIFIED,H-2B,KS,2010-04-01,2010-11-15,CHALLENGER SPORTS CORP. DBA BRITISH SOCCER,8263 FLINT,,LENEXA,KS,66214,ROGER HIATT,KANSAS CITY,MO,153.117-010,HEAD COACH,21.0,20,11.71,HR,11.71,HR
2900,C-10022-48974,2010-02-10,2010-01-22,CERTIFIED,H-2B,IL,2010-04-01,2010-11-05,CHALLENGER SPORTS CORP,8263 FLINT,,LENEXA,KS,66214,STINSON MORRISON HECKER LLP,KANSAS CITY,MO,153.117-010,HEAD COACH,50.0,50,7.76,HR,7.76,HR
2901,C-09301-46854,2009-11-04,2009-10-28,PARTIAL CERTIFIED,H-2B,KS,2010-02-08,2010-12-07,"HERMES LANDSCAPING, INC.",12421 SANTA FE TRAIL DRIVE,,LENEXA,KS,66215,ELIZABETH D. WHITLEY,LOVINGSTON,VA,408.687-014,"LABORER, LANDSCAPE",120.0,117,8.6,HR,8.6,HR
2902,C-09352-47745,2009-12-23,2009-12-16,CERTIFIED,H-2B,KS,2010-02-09,2010-12-09,"GOODWIN PRO TURF, INC.",6945 WEST 152ND TERRACE,,OVERLAND PARK,KS,66223,ROBERT L. WINGFIELD,DALLAS,TX,408.687-014,"LABORER, LANDSCAPE",45.0,45,8.6,HR,8.6,HR
2903,C-09355-47783,2009-12-24,2009-12-17,PARTIAL CERTIFIED,H-2B,KS,2010-04-01,2010-12-01,"PINNACLE LAWN CARE, INC.",15315 KENNETH ROAD,,STANLEY,KS,66224,"ELIZABETH D. WHITLEY / MAS LABOR H2B, LLC",LOVINGSTON,VA,408.687-014,"LABORER, LANDSCAPE",17.0,16,8.6,HR,8.6,HR
2904,C-09306-46944,2009-11-09,2009-11-02,PARTIAL CERTIFIED,H-2B,KS,2010-02-09,2010-11-30,"SHAWNEE MISSION TREE SERVICE, INC. DBA ARBOR MASTE",8250 COLE PARKWAY,,SHAWNEE,KS,66227,"ELIZABETH D. WHITLEY/MASLABOR H2B, LLC",LOVINGSTON,VA,408.687-014,"LABORER, LANDSCAPE",30.0,26,8.6,HR,8.6,HR
2905,C-10189-50460,2010-07-30,2010-07-08,DENIED,H-2B,KS,2010-09-01,2011-04-28,JARED LANGFORD DBA LANGFORD CONSTRUCTION,317 NORTHFIELD ROAD,,MANHATTAN,KS,66502,,,,869.664-014,CONSTRUCTION WORKER I,1.0,0,18.5,HR,18.5,HR
2906,C-09355-47818,2010-01-05,2009-12-17,CERTIFIED,H-2B,KS,2010-04-01,2010-11-10,"OTTAWAY AMUSEMENT COMPANY, INC.",19650 STRAIGHT CREEK ROAD,,ONAGA,KS,66521,"ROBERT WAYNE PIERCE / THE PIERCE LAW FIRM, LLC",ANNAPOLIS,MD,349.664-010,AMUSEMENT PARK WORKER,20.0,20,7.31,HR,7.31,HR
2907,C-10067-49579,2010-03-19,2010-03-08,CERTIFIED,H-2B,KS,2010-04-01,2010-11-30,GREEN BOYS LAWNCARE,6505 SW 61ST STREET,,TOPEKA,KS,66610,NOEL GOLDMAN,MONTVALE,NJ,408.687-014,"LABORER, LANDSCAPE",5.0,5,8.34,HR,8.34,HR
2908,C-09358-48086,2009-12-30,2009-12-23,PARTIAL CERTIFIED,H-2B,KS,2010-04-01,2010-11-30,TOPEKA LANDSCAPE INC.,3220 SW AUBURN RD.,,TOPEKA,KS,66614,ELIZABETH WHITLEY,LOVINGSTON,VA,408.687-014,"LABORER, LANDSCAPE",21.0,19,8.34,HR,8.34,HR
2909,C-10011-48658,2010-02-02,2010-01-11,CERTIFIED,H-2B,KS,2010-02-01,2010-11-30,BECKER & SON ROOFING COMPANY,901 SOUTH PINE,,PRATT,KS,67124,LAURA ELIZABETH CONLEY MORGAN,LEXINGTON,KY,869.664-014,CONSTRUCTION WORKER I,1.0,1,8.6,HR,8.6,HR
2910,C-10216-50750,2010-08-23,2010-08-04,PARTIAL CERTIFIED,H-2B,KS,2010-02-15,2010-12-15,"CAP CARPET, INC",535 S. EMERSON,,WICHITA,KS,67209,JESUS RAUL LEON,PHOENIX,AZ,864.381-010,CARPET LAYER,5.0,4,16.11,HR,16.11,HR
2911,C-10223-50813,2010-08-17,2010-08-11,CERTIFIED,H-2B,KS,2010-10-01,2011-04-30,"JKD, INC",PO BOX 975,,COLBY,KS,67701,LESLI S. DOWNS,SAND SPRINGS,OK,624.281-010,FARM EQUIPMENT MECHANIC I,5.0,5,10.42,HR,10.42,HR
2912,C-10055-49458,2010-03-11,2010-02-24,CERTIFIED,H-2B,KS,2010-02-01,2010-12-31,FLOYD STUDER HARVESTING,1020 W. 36TH STREET,,GOODLAND,KS,67735,LEON VERSFELD,KANSAS CITY,MO,904.383-010,TRACTOR TRAILER TRUCK DRIVER,2.0,2,,,,
2913,C-10036-49229,2010-03-11,2010-02-05,DENIED,H-2B,KS,2010-04-15,2011-04-14,MJE LLC,5550 N  16 MILE ROAD,,GARDEN CITY,KS,67846,,,,859.683-010,OPERATING ENGINEER,10.0,0,,,,
2914,C-10138-50131,2010-06-15,2010-05-18,DENIED,H-2B,NE,2010-08-15,2011-08-15,MOTHER INDIA RESTAURANT,3572 LEAVENWORTH STREET,,OMAHA,NE,68105,PAUL J. FORNEY,OMAHA,NE,313.131-014,CHEF,1.0,0,,,,
2915,C-10043-49324,2010-03-01,2010-02-12,CERTIFIED,H-2B,TX,2010-02-01,2010-12-01,"CONCRETE DESIGNS,LLC",1910 RAYMOND ROAD,,GARLAND,NE,68360,SAM HADDAD,AUSTIN,TX,869.664-014,CONSTRUCTION WORKER I,10.0,10,10.55,HR,10.55,HR
2916,C-10025-49008,2010-01-29,2010-01-25,CERTIFIED,H-2B,NE,2010-04-01,2010-11-30,"LANDSCAPES UNLIMITED, LLC",1201 ARIES DRIVE,,LINCOLN,NE,68512,GRACE S. KAN,IRVING,TX,408.687-014,"LABORER, LANDSCAPE",6.0,6,7.79,HR,7.79,HR
2917,C-10082-49711,2010-04-02,2010-03-23,CERTIFIED,H-2B,OK,2010-01-25,2010-11-23,"A MIRACLE TRUCK, INC.","2194 SW 9TH STREET, #117",,LINCOLN,NE,68522,LORI ANN WHITTEN,WYLIE,TX,902.683-010,DUMP TRUCK DRIVER,5.0,5,10.23,HR,10.23,HR
2918,C-10036-49235,2010-02-10,2010-02-05,PARTIAL CERTIFIED,H-2B,NE,2010-04-01,2010-11-30,WHITE CASTLE ROOFING AND CONTRACTING INC.,5851 SALTILLO,P.O. BOX 22133,LINCOLN,NE,68542,ALAN HOWARD PLUMMER,THAYNE,WY,866.381-010,ROOFER,20.0,17,10.69,HR,10.69,HR
2919,C-10039-49261,2010-03-12,2010-02-08,DENIED,H-2B,NE,2009-10-01,2010-10-01,WRANCHO LLC D/B/A SPOTLIGHT STUDIOS,311 WEST K STREET,P.O. BOX 421,MCCOOK,NE,69001,,,,151.027-014,"INSTRUCTOR, DANCING",1.0,0,,,,
2920,C-10053-49424,2010-03-09,2010-02-22,PARTIAL CERTIFIED,H-2B,NE,2010-04-15,2010-11-15,WEATHERCRAFT COMPANY OF NORTH PLATTE,PO BOX 1949,2401 EAST 8TH STREET,NORTH PLATTE,NE,69101,MICHAEL DAVID HEFNER / RESOURCE STAFFING INTERNATI,PITTSFIELD,VT,519.686-010,"LABORER, GENERAL",15.0,14,7.62,HR,7.62,HR
2921,C-10026-49035,2010-02-01,2010-01-26,PARTIAL CERTIFIED,H-2B,NE,2010-04-01,2010-11-30,"THE PRAIRIE CLUB, LLC",109 S MAIN STREET,,VALENTINE,NE,69201,GRACE S. KAN,IRVING,TX,408.687-014,"LABORER, LANDSCAPE",30.0,29,7.8,HR,7.8,HR
2922,C-10148-50197,2010-06-02,2010-05-28,PARTIAL CERTIFIED,H-2B,NE,2010-09-01,2011-03-01,AULICK LEASING CORPORATION,305 9TH AVE.,P.O. BOX 1369,SCOTTSBLUFF,NE,69361,GUSTAVO GARCIA,HOUSTON,TX,904.383-010,TRACTOR TRAILER TRUCK DRIVER,70.0,69,10.58,HR,10.58,HR
2923,C-10148-50200,2010-06-02,2010-05-28,CERTIFIED,H-2B,CO,2010-09-01,2011-03-01,AULICK  LEASING CORPORATION,305 9TH AVE.,P.O. BOX 1369,SCOTTSBLUFF,NE,69363,GUSTAVO GARCIA,HOUSTON,TX,625.281-010,DIESEL MECHANIC,5.0,5,12.96,HR,12.96,HR
2924,C-10148-50199,2010-06-02,2010-05-28,CERTIFIED,H-2B,NE,2010-09-01,2011-03-01,AULICK LEASING CORPORATION,305 9TH AVE.,P.O. BOX 1369,SCOTTSBLUFF,NE,69363,GUSTAVO GARCIA,HOUSTON,TX,625.281-010,DIESEL MECHANIC,5.0,5,,,,
2925,C-10148-50195,2010-06-02,2010-05-28,CERTIFIED,H-2B,CO,2010-09-01,2011-03-01,AULICK  LEASING CORPORATION,305 9TH AVE.,P.O. BOX 1369,SCOTTSBLUFF,NE,69363,GUSTAVO GARCIA,HOUSTON,TX,904.383-010,TRACTOR TRAILER TRUCK DRIVER,70.0,70,11.84,HR,11.84,HR
2926,C-09341-47547,2010-01-07,2009-12-07,CERTIFIED,H-2B,LA,2009-10-01,2010-05-31,DUCOING RACING STABLES,400 METAIRIE HAMMOND HWY UNIT 43,,METAIRIE,LA,70005,"WILLIAM VELIE / WILLIAM VELIE, ATTORNEY AT LAW, PL",NORMAN,OK,410.674-010,ANIMAL CARETAKER,4.0,4,7.67,HR,7.67,HR
2927,C-10055-49472,2010-03-12,2010-02-24,CERTIFIED,H-2B,LA,2010-04-01,2010-12-30,"B&G SEAFOOD,INC",17358 HWY 631,,DES ALLENMANDS,LA,70030,,,,525.687-126,CRAB MEAT PROCESSOR,25.0,21,9.98,HR,9.98,HR
2928,C-09351-47662,2009-12-21,2009-12-14,CERTIFIED,H-2B,LA,2010-02-01,2010-11-30,D&C SEAFOOD INC.,P.O. BOX 127,,BOOTHVILLE,LA,70038,"LINDA D. WHITE / LINDA WHITE & ASSOCIATES, INC.",LIVINGSTON,LA,691.687-010,PRODUCTION HELPER,3.0,3,,,,
2929,C-10012-48670,2010-01-15,2010-01-12,PARTIAL CERTIFIED,H-2B,LA,2010-04-01,2010-11-05,"DAYBROOK FISHERIES, INC.",136 DAYBROOK LANE,PO BOX 128,EMPIRE,LA,70050,JEREMY SCOTT ZOLLINGER,HARVEY,LA,522.687-046,FISH ROE PROCESSOR,143.0,142,,,,
2930,C-10246-50974,2010-09-27,2010-09-03,DENIED,H-2B,LA,2010-10-15,2011-05-31,"DAYBROOK FISHERIES, INC.","136 DAYBROOK LANE,",P.O. BOX 128,EMPIRE,LA,70050,JEREMY SCOTT ZOLLINGER,HARVEY,LA,819.361-010,WELDER FITTER,30.0,0,19.66,HR,19.66,HR
2931,C-10020-48887,2010-01-26,2010-01-20,CERTIFIED,H-2B,LA,2010-04-01,2010-11-21,"A & A LAWNCARE & LANDSCAPE, LLC",622 ANSON STREET,,GRETNA,LA,70053,ELIZABETH WHITLEY,LOVINGSTON,VA,408.687-014,"LABORER, LANDSCAPE",7.0,7,7.25,HR,7.25,HR
2932,C-10251-51001,2010-09-30,2010-09-08,DENIED,H-2B,LA,2010-09-01,2011-07-01,MEXICAN CUISINE INC. D/B/A LA CARRETA OF LA PLACE,107 CARROLLWOOD DR. UNIT A,,LAPLACE,LA,70068,,,,319.484-010,"FOOD ASSEMBLER, KITCHEN",25.0,0,7.39,HR,7.39,HR
2933,C-09309-47016,2009-11-17,2009-10-21,DENIED,H-2B,LA,2010-02-01,2010-11-30,D&C SEAFOOD INC.,391 IDF ROAD,,VENICE,LA,70091,"LINDA D. WHITE / LINDA WHITE & ASSOCIATES, INC.",LIVINGSTON,LA,691.687-010,PRODUCTION HELPER,3.0,0,9.98,HR,9.98,HR
2934,C-09266-46513,2009-10-19,2009-09-23,DENIED,H-2B,LA,2009-10-02,2010-06-30,"THE RITZ-CARLTON, NEW ORLEANS",921 CANAL STREET,,NEW ORLEANS,LA,70112,REBECCA SADEK,NEW YORK,NY,318.137-010,KITCHEN STEWARD/STEWARDESS,14.0,0,10.55,HR,10.55,HR
2935,C-09266-46512,2009-10-23,2009-09-23,DENIED,H-2B,LA,2009-10-02,2010-06-30,"THE RITZ-CARLTON, NEW ORLEANS",921 CANAL STREET,,NEW ORLEANS,LA,70112,REBECCA SADEK,NEW YORK,NY,321.137-010,HOUSEKEEPER,20.0,0,10.55,HR,10.55,HR
2936,C-10048-49362,2010-03-24,2010-02-17,DENIED,H-2B,LA,2010-03-01,2010-12-31,BANGKOK THAI RESTAURANT,513 S. CARROLLTON AVENUE,,NEW ORLEANS,LA,70118,SANJAY BISWAS,METAIRIE,LA,313.361-014,COOK,3.0,0,10.25,HR,10.25,HR
2937,C-10011-48633,2010-01-14,2010-01-11,PARTIAL CERTIFIED,H-2B,LA,2010-04-01,2010-12-15,"BNL ENTERPRISES, LLC DBA U.S. LAWNS OF NEW ORLEANS","PO BOX 10223, NEW ORLEANS, LA 70181",5030-A BLOOMFIELD ST.,JEFFERSON,LA,70121,EVELYN A. WRIGHT,ROSELAND,VA,408.687-014,"LABORER, LANDSCAPE",15.0,12,7.25,HR,7.25,HR
2938,C-10252-51005,2010-09-21,2010-09-09,PARTIAL CERTIFIED,H-2B,LA,2010-11-01,2011-08-31,PRECISION ASSEMBLY MANUFACTURING LLC,257 WALTER ROAD,,RIVER RIDGE,LA,70123,LABOR CONSULTANTS INTERNATIONAL,COEUR D' ALENE,ID,529.686-070,PRODUCTION HELPER,20.0,20,,,,
2939,C-09286-46641,2009-11-03,2009-10-13,PARTIAL CERTIFIED,H-2B,LA,2009-11-10,2010-06-30,DICKIE BRENNAN AND COMPANY,605 CANAL STREET,,NEW ORLEANS,LA,70130,VIVIAN MARIE HAWKER/ DHI LLC,ORLANDO,FL,350.677-030,WAITER/WAITRESS,44.0,43,7.25,HR,7.25,HR
2940,C-09331-47409,2010-01-14,2009-11-27,DENIED,H-2B,LA,2009-12-11,2010-08-01,"ROYAL HOSPITALITY SERVICES, LLC",237 N. PETERS,4TH FL,NEW ORLEANS,LA,70130,"JON EDWIN CLARK/EDUCATIONAL WORLD, INC.",NORTH PORT,FL,323.687-014,"CLEANER, HOUSEKEEPING",116.0,0,7.9,HR,7.9,HR
2941,C-10132-50097,2010-05-27,2010-05-12,PARTIAL CERTIFIED,H-2B,SC,2010-05-10,2010-10-31,"ROYAL HOSPITALITY SERVICES, LLC",237 NORTH PETERS STREET,4TH FLOOR,NEW ORLEANS,LA,70130,MICHAEL X. HARTOFELIS,ASTORIA,NY,323.687-014,"CLEANER, HOUSEKEEPING",20.0,19,7.52,HR,7.52,HR
2942,C-10216-50746,2010-08-19,2010-08-04,PARTIAL CERTIFIED,H-2B,LA,2010-10-01,2011-06-30,DICKIE BRENNAN AND COMPANY,605 CANAL STREET,,NEW ORLEANS,LA,70130,VIVAN MARIE HAWKER / DHI LLC,ORLANDO,FL,311.477-026,"WAITER/WAITRESS, FORMAL",35.0,30,,,,
2943,C-09357-47970,2009-12-29,2009-12-21,PARTIAL CERTIFIED,H-2B,LA,2010-04-01,2010-11-30,ENGLISH TURN GOLF & COUNTRY CLUB,ONE CLUBHOUSE DR.,,NEW ORLEANS,LA,70131,"AMIGO'S LABOR SOLUTIONS, INC./ROBERT L. WINGFIELD",DALLAS,TX,408.687-014,"LABORER, LANDSCAPE",33.0,30,7.25,HR,7.25,HR
2944,C-10168-50299,2010-06-30,2010-06-17,DENIED,H-2B,LA,2010-10-01,2011-07-31,"LAFOURCHE SUGARS, L.L.C.",141 LEIGHTON QUARTERS ROAD,,THIBODAUX,LA,70301,JACKIE MITCHELL,BATON ROUGE,LA,899.261-014,"MAINTENANCE REPAIRER, INDUSTRIAL",3.0,0,10.04,HR,10.04,HR
2945,C-10168-50306,2010-06-30,2010-06-17,DENIED,H-2B,LA,2010-10-01,2011-01-31,"LAFOURCHE SUGARS, L.L.C.",141 LEIGHTON QUARTERS RD,,THIBODAUX,LA,70301,JACKIE MITCHELL,BATON ROUGE,LA,551.685-078,FILTER OPERATOR,4.0,0,7.25,HR,7.25,HR
