,CASE_NUMBER,RECENT_DECISION_DATE,NPC_SUBMITTED_DATE,CASE_STATUS,VISA_CLASS,ALIEN_WORK_STATE,CERTIFICATION_BEGIN_DATE,CERTIFICATION_END_DATE,EMPLOYER_NAME,EMPLOYER_ADDRESS1,EMPLOYER_ADDRESS2,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_POSTAL_CODE,LAWFIRM_NAME,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_STATE,SOC_CODE,SOC_NAME,JOB_TITLE,NBR_WORKERS_CERTIFIED,PREVIALING_WAGE,PW_UNIT_OF_PAY,BASIC_RATE_OF_PAY,BASIC_UNIT_OF_PAY
2575,H-400-14007-860336,2014-01-22,2014-01-07,Certification,H-2B,OK,2014-03-03,2014-11-28,TruGreen Landcare - Tulsa,10203 East 51st Street,,Tulsa,OK,74146,"másLabor H-2B, LLC",Elizabeth Whitley,Lovingston,VA,37-1012,"First-Line Supervisors of Landscaping, Lawn",Landscape Supervisors,8,11.38,Hour,11.38,Hour
2576,H-400-14007-988812,2014-01-22,2014-01-07,Certification,H-2B,VA,2014-03-03,2014-12-12,"Lee Highway Nursery, LLC",7185 Burke Lane,,Warrenton,VA,20186,"másLabor H-2B, LLC",Elizabeth Whitley,Lovingston,VA,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,8,10.36,Hour,10.36,Hour
2577,H-400-14007-350315,2014-01-21,2014-01-07,Partial Certification,H-2B,CO,2014-04-01,2014-11-30,"Landscape Consultants And Contractors, Inc.","12650 West 64th Avenue, Unit E",,Arvada,CO,80004,SHAFTEL LAW,MATTHEW SHAFTEL,DENVER,CO,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,15,13.35,Hour,13.35,Hour
2578,H-400-14006-974035,2014-01-30,2014-01-06,Certification,H-2B,NH,2014-04-01,2014-11-30,"L. A. BROCHU, INC.",121 COMMERCIAL STREET,,CONCORD,NH,03301,,,,,37-3011,Landscaping and Groundskeeping Workers,Landscaper,5,12.84,Hour,12.84,Hour
2579,H-400-14006-613751,2014-01-22,2014-01-08,Certification,H-2B,MA,2014-04-15,2014-10-15,"NANTUCKET GOLF MANAGEMENT, INC.",12 WEST MIACOMET ROAD,,NANTUCKET,MA,02554,PEAK SEASON WORKFORCE,JOSEPH BISHOP,MASHPEE,MA,37-3019,"Grounds Maintenance Workers, All Other",GROUNDS MAINTENANCE,13,14.85,Hour,14.85,Hour
2580,H-400-14006-288512,2014-01-21,2014-01-06,Certification,H-2B,MI,2014-04-18,2014-11-05,"Yankee Rebel Tavern, Inc.","PO Box 1880, 1493 Astor Street",,Mackinac Island,MI,49757,"TIMOTHY J. O'LEARY, ATTORNEY AT LAW",TIMOTHY OLEARY,WASHINGTON,DC,35-2014,"Cooks, Restaurant",Restaurant Cook,15,9.72,Hour,9.72,Hour
2581,H-400-14006-727864,2014-01-21,2014-01-06,Certification,H-2B,MO,2014-03-17,2014-11-28,"Custom Lawn & Landscape, Inc.",15204 South Keeler Street,,Olathe,KS,66062,"másLabor H-2B, LLC",Elizabeth Whitley,Lovingston,VA,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,10,9.75,Hour,9.75,Hour
2582,H-400-14006-617685,2014-01-21,2014-01-06,Partial Certification,H-2B,SC,2014-04-01,2014-11-28,Austin Outdoor LLC - Charleston,7316 Peppermill Parkway,,North Charleston,SC,29418,"másLabor H-2B, LLC",Elizabeth Whitley,Lovingston,VA,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,25,9.0,Hour,9.0,Hour
2583,H-400-14006-403494,2014-01-22,2014-01-06,Certification,H-2B,AZ,2014-01-27,2014-11-25,"BROWN'S AMUSEMENTS, INC",11520 E GERMANN RD,"[MAIL: 550 W. BASELINE RD, STE 102-353, MESA, AZ 85210]",CHANDLER,AZ,85249-0000,"JKJ WORKFORCE AGENCY, INC",JAMES JUDKINS,RIO HONDO,TX,39-3091,Amusement and Recreation Attendants,Amusement and Recreation Attendants - Traveling Ca,70,340.0,Week,340.0,Week
2584,H-400-14007-493544,2014-01-23,2014-01-09,Certification Expired,H-2B,CO,2014-04-01,2014-09-30,"TERRACARE ASSOCIATES, LLC",9742 TITAN PARK CIRCLE,,LITTLETON,CO,80125,ALLOTT IMMIGRATION LAW FIRM,ANN ALLOTT,CENTENNIAL,CO,37-3011,Landscaping and Groundskeeping Workers,Landscaping Laborers,36,13.35,Hour,13.35,Hour
2585,H-400-14009-843732,2014-01-23,2014-01-09,Certification,H-2B,KY,2014-02-01,2014-11-30,Verastegui Brothers Masonry,196 Normandy Hts Rd,,Taylorsville,KY,40071,ACTION VISA ASSISTANCE,DANIELLE CLARK,WYLIE,TX,47-3011,"Helpers--Brickmasons, Blockmasons, Stonemasons,",Brick Mason Helper,4,9.23,Hour,9.23,Hour
2586,H-400-14008-240115,2014-01-22,2014-01-08,Certification,H-2B,FL,2014-02-01,2014-11-26,"SWYEAR AMUSEMENTS, INC",606 SOUTH JACKSON ST,"[MAIL: 2622 KAISER RD, NEW ATHENS, IL 62264]",NEW ATHENS,IL,62264,"JKJ WORKFORCE AGENCY, INC",JAMES JUDKINS,RIO HONDO,TX,39-3091,Amusement and Recreation Attendants,Amusement and Recreation Attendants - Traveling Ca,50,340.0,Week,340.0,Week
2587,H-400-14008-203875,2014-01-30,2014-01-08,Certification,H-2B,MO,2014-03-01,2014-12-01,"Rite-A-Way Lawn Care, LLc",1042 David Meadows Ln.,,St. Charles,MO,63304,Labor Consultants International,Nicole Ward,Coeur d'Alene,ID,37-3011,Landscaping and Groundskeeping Workers,Landscapers,56,9.89,Hour,9.89,Hour
2588,H-400-14010-920192,2014-02-07,2014-01-10,Denied,H-2B,NJ,2014-03-15,2014-11-30,"SUNSET CREATIONS, INC.",284 SUNSET ROAD,,SKILLMAN,NJ,08558,"Infinity Labor Source, Inc.",Sayde Leonel de Cervantes,Buda,TX,37-3011,Landscaping and Groundskeeping Workers,Landscaping Laborer,0,12.46,Hour,12.46,Hour
2589,H-400-14010-921311,2014-01-24,2014-01-10,Partial Certification,H-2B,MI,2014-04-25,2014-11-03,"Murray Hotel, Inc.","PO Box 476, 7260 Main Street",,Mackinac Island,MI,49757,"TIMOTHY J. O'LEARY, ATTORNEY AT LAW",TIMOTHY OLEARY,WASHINGTON,DC,43-4081,"Hotel, Motel, and Resort Desk Clerks",Hotel Clerk,5,8.98,Hour,8.98,Hour
2590,H-400-14010-659327,2014-01-11,2014-01-11,Withdrawn,H-2B,SC,2014-03-15,2014-12-13,SONESTA RESORT HILTON HEAD ISLAND,130 SHIPYARD DRIVE,,HILTON HEAD ISLAND,SC,29928,PRACTICAL EMPLOYEE SOLUTIONS,VERONICA STRICKLAND-BIRKENSTOCK,DALLAS,TX,35-3031,Waiters and Waitresses,Server,0,10.27,Hour,10.27,Hour
2591,H-400-14010-430269,2014-01-24,2014-01-10,Certification,H-2B,AZ,2014-03-28,2014-12-27,"It's Magic, Inc.",1327 E. White Mtn. Blvd.,,Pinetop,AZ,85935,Labor Consultants International,Ginny Muilenburg,Coeur d'Alene,ID,37-3011,Landscaping and Groundskeeping Workers,Landscape and Groundskeeper,20,8.99,Hour,8.99,Hour
2592,H-400-14010-216612,2014-01-24,2014-01-10,Certification,H-2B,MI,2014-04-25,2014-11-03,"Murray Hotel, Inc.","PO Box 476, 7260 Main Street",,Mackinac Island,MI,49757,"TIMOTHY J. O'LEARY, ATTORNEY AT LAW",TIMOTHY OLEARY,WASHINGTON,DC,35-3022,"Counter Attendants, Cafeteria, Food Concession,",Counter Attendant,8,9.07,Hour,9.07,Hour
2593,H-400-14010-389292,2014-01-27,2014-01-13,Certification,H-2B,TX,2014-03-15,2014-12-15,Agave Garden Inc.,1402 N. Loop 250W,"P.O. BOX 8810 Midland, TX 79703",Midland,TX,79703,FEDERATION OF EMPLOYERS AND WORKERS OF AMERICA,JONI SNOW,BAY CITY,TX,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,6,8.69,Hour,8.69,Hour
2594,H-400-14010-388263,2014-01-27,2014-01-13,Certification,H-2B,PA,2014-03-01,2014-12-01,Rockwell Associates LLC,6602 Sherman Ct,"PO Box 542, Ridley Park, PA 19078",Williamstown,NJ,08094,FEDERATION OF EMPLOYERS AND WORKERS OF AMERICA,ROBIN SVEC,BAY CITY,TX,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,9,9.83,Hour,9.83,Hour
2595,H-400-14013-995229,2014-01-27,2014-01-13,Certification,H-2B,DC,2014-03-01,2014-11-30,Clipper's Inc. - MD,3350-H Patuxent River Road,"Corp: 42701 Trade West Dr., Sterling VA 20166",Davidsonville,MD,21035,"másLabor H-2B, LLC",Elizabeth Whitley,Lovingston,VA,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,30,10.36,Hour,10.36,Hour
2596,H-400-14013-459977,2014-01-27,2014-01-13,Certification,H-2B,OH,2014-03-01,2014-12-15,"M.J. Design Associates, Inc.",8463 Estates Court,,Plain City,OH,43064,"másLabor H-2B, LLC",Elizabeth Whitley,Lovingston,VA,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,15,9.82,Hour,9.82,Hour
2597,H-400-14014-244269,2014-02-05,2014-01-22,Partial Certification,H-2B,CO,2014-04-01,2014-11-30,"FREDELL ENTERPRISES, INC.",2929 N. PROSPECT STREET,SUITE 105,COLORADO SPRINGS,CO,80907,ALLOTT IMMIGRATION LAW FIRM,ANN ALLOTT,CENTENNIAL,CO,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,19,8.86,Hour,8.86,Hour
2598,H-400-14014-584899,2014-01-28,2014-01-14,Certification,H-2B,LA,2014-01-28,2014-11-01,"Hard Core, Inc.",453 Highway 50W,P.O. Box 232,Centerville,TN,37033,"másLabor H-2B, LLC",Elizabeth Whitley,Lovingston,VA,27-1023,Floral Designers,Wreath Roller,15,7.67,Piece Rate,7.67,Piece Rate
2599,H-400-14014-562444,2014-02-03,2014-01-20,Certification,H-2B,MA,2014-04-15,2014-11-01,P&M REIS TRUCKING,P.O. BOX 113,57 SURFSIDE ROAD,NANTUCKET,MA,02554,PEAK SEASON WORKFORCE,JOSEPH BISHOP,MASHPEE,MA,53-7081,Refuse and Recyclable Material Collectors,REFUSE AND RECYCLABLE MATERIAL COLLECTORS,12,18.7,Hour,18.7,Hour
2600,H-400-14014-408670,2014-01-28,2014-01-14,Certification,H-2B,ND,2014-04-01,2014-11-30,Castle Construction Company,588 US Highway 250E,,Ashland,OH,44805,"AMIGOS LABOR SOLUTIONS, INC.",Robert Wingfield,DALLAS,TX,47-3012,Helpers--Carpenters,Carpenter Helper,18,10.62,Hour,10.62,Hour
2601,H-400-14014-837129,2014-02-10,2014-01-27,Certification,H-2B,CO,2014-04-01,2014-11-01,"The Broadmoor Hotel, Inc.",1 Lake Avenue,,Colorado Springs,CO,80906,"FRAGOMEN DEL REY BERNSEN & LOEWY, LLP",JENNIFER ESTRELLA,CORAL GABLES,FL,39-6011,Baggage Porters and Bellhops,Bellhop,7,9.33,Hour,9.33,Hour
2602,H-400-14014-338535,2014-01-28,2014-01-14,Certification,H-2B,MA,2014-03-15,2014-11-15,THE RED INN AT PROVINCETOWN INC.,15 COMMERCIAL STREET,,PROVINCETOWN,MA,02657,,,,,35-9021,Dishwashers,Dishwashers,6,11.0,Hour,11.0,Hour
2603,H-400-14035-869752,2014-02-18,2014-02-04,Certification,H-2B,ND,2014-04-01,2014-11-01,THEODORE ROOSEVELT MEDORA FOUNDATION,301 5TH STREET,PO BOX 198,MEDORA,ND,58645,"EMPLOYMENT USA, LLC",KEVIN OPP,ABERDEEN,SD,39-3091,Amusement and Recreation Attendants,RESORT ATTENDANT,60,9.49,Hour,9.49,Hour
2604,H-400-14036-552626,2014-02-19,2014-02-05,Partial Certification,H-2B,MD,2014-02-20,2014-12-20,"Creative Landscapes by Gregory, INC.",6126 Jefferson Pike,,Frederick,MD,21703,WORKFORCE ADVANTAGE,FERNANDO SAENZ,MECHANICSVILLE,VA,37-3011,Landscaping and Groundskeeping Workers,LANDSCAPE LABORER,39,10.49,Hour,10.49,Hour
2605,H-400-14025-990810,2014-02-24,2014-01-28,Certification,H-2B,MD,2014-03-10,2014-12-15,SUN VENTURES INC,2957 JESSUP RD,,JESSUP,MD,20794,VISA ADVISORS INC,JOSE LOPEZ,HIDALGO,TX,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,90,12.41,Hour,12.41,Hour
2606,H-400-14010-629508,2014-02-05,2014-01-22,Partial Certification,H-2B,MA,2014-04-01,2014-12-01,ND Landscape Inc,2 Martel Way,,Georgetown,MA,01833,FEDERATION OF EMPLOYERS AND WORKERS OF AMERICA,BRANDI COWAN,BAY CITY,TX,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,21,10.17,Hour,10.17,Hour
2607,H-400-14007-728443,2014-01-21,2014-01-07,Certification,H-2B,PA,2014-03-24,2014-11-24,Ginkgo Landscapes,22 Maurice Lane,,Hatboro,PA,19040,"másLabor H-2B, LLC",Elizabeth Whitley,Lovingston,VA,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,15,10.0,Hour,10.0,Hour
2608,H-400-14003-216614,2014-01-21,2014-01-03,Certification,H-2B,PA,2014-04-01,2014-12-24,"STATE ROAD BUILDERS SUPPLY COMPANY, INC.",1840 SOUTH STATE ROAD,,UPPER DARBY,PA,19082,MJC LABOR SOLUTIONS LLC,CARL HEMPHILL,UPPER DARBY,PA,53-7062,"Laborers and Freight, Stock, and Material Movers,",MATERIAL MOVERS,2,16.95,Hour,16.95,Hour
2609,H-400-14003-692150,2014-01-17,2014-01-03,Partial Certification,H-2B,MO,2014-03-01,2014-11-30,Wickman's Garden Village,1345 South Fort,,Springfield,MO,65807,International Labor Management Corp,Daniel Farrell,Vass,NC,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,35,9.03,Hour,9.03,Hour
2610,H-400-14004-708113,2014-01-31,2014-01-04,Denied,H-2B,MD,2014-03-03,2014-12-31,SUN VENTURES INC,2957 JESSUP RD,,JESSUP,MD,20794,VISA ADVISORS INC.,JOSE LOPEZ,HIDALGO,TX,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,0,12.41,Hour,12.41,Hour
2611,H-400-14005-001630,2014-01-28,2014-01-05,Certification,H-2B,VA,2014-03-03,2014-12-15,The Lawn Barber Corporation,"1110 West Pembroke Ave., #8A",,Hampton,VA,23661,"másLabor H-2B, LLC",Elizabeth Whitley,Lovingston,VA,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,7,8.86,Hour,8.86,Hour
2612,H-400-14006-114071,2014-01-21,2014-01-06,Certification,H-2B,ME,2014-04-15,2014-11-10,THE MEADOWMERE RESORT,74 MAIN STREET,PO Box 2347,OGUNQUIT,ME,03907,,,,,37-2012,Maids and Housekeeping Cleaners,Housekeeper,15,10.19,Hour,10.19,Hour
2613,H-400-14008-211988,2014-01-23,2014-01-09,Certification,H-2B,MA,2014-04-15,2014-10-31,"BLUE SEA MOTOR INN, INC.",P.O. BOX 537,"696 SHORE ROAD, NORTH TRURO, MA 02652 (PHYSICAL ADDRESS)",PROVINCETOWN,MA,02657,PEAK SEASON WORKFORCE,JOSEPH BISHOP,MASHPEE,MA,37-2012,Maids and Housekeeping Cleaners,HOUSEKEEPERS,4,11.92,Hour,11.92,Hour
2614,H-400-14009-164071,2014-01-23,2014-01-09,Certification,H-2B,MA,2014-04-01,2014-11-15,"THE COFFEE POT & MORE, INC.",315 COMMERCIAL STREET,P.O. BOX 1203,PROVINCETOWN,MA,02657,PEAK SEASON WORKFORCE,JOSEPH BISHOP,MASHPEE,MA,35-3022,"Counter Attendants, Cafeteria, Food Concession,",COUNTER ATTENDANTS/SHORT ORDER COOKS,7,10.0,Hour,10.0,Hour
2615,H-400-14011-221273,2014-01-24,2014-01-11,Certification,H-2B,IL,2014-02-10,2014-12-01,"Lawn Groomers, Inc.",1909 Gravois Road,,High Ridge,MO,63049,"másLabor H-2B, LLC",Elizabeth Whitley,Lovingston,VA,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,35,9.31,Hour,9.31,Hour
2616,H-400-14012-713190,2014-02-04,2014-01-21,Certification,H-2B,MA,2014-05-01,2014-12-01,THE OLD HARBOR INN,22 OLD HARBOR ROAD,,CHATHAM,MA,02633,CAPE LABOR SOLUTIONS,PETYA FEENEY,CHATHAM,MA,37-2012,Maids and Housekeeping Cleaners,HOUSEKEEPERS,3,11.92,Hour,11.92,Hour
2617,H-400-14026-299650,2014-02-07,2014-01-26,Certification,H-2B,MD,2014-04-01,2014-12-16,"Oak Hill Lawn Care and Landscaping, Inc.",1839 Susquehanna Hall Road,,Whiteford,MD,21160,"másLabor H-2B, LLC",Elizabeth Whitley,Lovingston,VA,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,5,9.78,Hour,9.78,Hour
2618,H-400-14006-041692,2014-01-21,2014-01-06,Certification,H-2B,NY,2014-04-01,2014-11-28,"Gould's Lawn & Landscape, Inc.",1987 Upper Turnpike,,Whitehall,NY,12887,"másLabor H-2B, LLC",Elizabeth Whitley,Lovingston,VA,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,15,9.82,Hour,9.82,Hour
2619,H-400-14006-730127,2014-01-22,2014-01-06,Certification,H-2B,MI,2014-04-01,2014-12-12,"H2O Irrigation, Inc.",14280 Industrial Center Dr.,,Shelby Twp.,MI,48315,"másLabor H-2B, LLC",Elizabeth Whitley,Lovingston,VA,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,20,9.6,Hour,9.6,Hour
2620,H-400-14006-859226,2014-01-22,2014-01-06,Certification,H-2B,PA,2014-03-01,2014-12-15,"Maher Designs, Inc.",317 S. Trooper Rd,,Norristown,PA,19403,"másLabor H-2B, LLC",Elizabeth Whitley,Lovingston,VA,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,10,14.04,Hour,14.04,Hour
2621,H-400-14003-150907,2014-01-17,2014-01-03,Certification Expired,H-2B,TX,2014-02-10,2014-05-15,"Faith Forestry Services, Inc.",201 N. Galyean Rd.,,Corinth,MS,38834,Labor Consultants International,Ginny Muilenburg,Coeur d'Alene,ID,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Nursery Worker,26,9.94,Hour,9.94,Hour
2622,H-400-14009-865066,2014-01-23,2014-01-09,Partial Certification,H-2B,AR,2014-02-01,2014-11-30,"The Alotian Club, LLC",101 Alotian Drive,,Roland,AR,72135,FEDERATION OF EMPLOYERS AND WORKERS OF AMERICA,ROBIN SVEC,BAY CITY,TX,37-3011,Landscaping and Groundskeeping Workers,Greenskeeper II,38,9.56,Hour,9.56,Hour
2623,H-400-14010-241011,2014-02-05,2014-01-22,Certification,H-2B,PA,2014-04-01,2014-11-30,"A&N Lawn Service, Inc.",148 Perry Highway,,Pittsburgh,PA,15229,LABORQUEST,THOMAS ROBINSON,WELLINGTON,FL,37-3011,Landscaping and Groundskeeping Workers,LANDSCAPE LABORER,10,12.37,Hour,12.37,Hour
2624,H-400-14010-818607,2014-01-24,2014-01-10,Partial Certification,H-2B,VA,2014-03-15,2014-11-15,"RSG Landscaping & Lawn Care, Inc.",1621 Crews Shop Road,PO Box 110  Concord VA 24538,Lynchburg,VA,24504,"másLabor H-2B, LLC",Elizabeth Whitley,Lovingston,VA,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,55,8.89,Hour,8.89,Hour
2625,H-400-14013-880976,2014-01-27,2014-01-13,Certification,H-2B,TX,2014-02-01,2014-12-01,Juan D Maldonado Enterprise Corp,3011 Hwy 90 W,,Seguin,TX,78155,FEDERATION OF EMPLOYERS AND WORKERS OF AMERICA,ROBIN SVEC,BAY CITY,TX,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,15,8.51,Hour,8.51,Hour
2626,H-400-14013-682569,2014-01-27,2014-01-13,Partial Certification,H-2B,TX,2014-01-14,2014-11-14,Jose Uribe Concrete Construction,215 Old Pidcoke Road,,Gatesille,TX,76528,"WORK SOLUTIONS USA, LLC",SUZANNE MILLER,AUSTIN,TX,47-2061,Construction Laborers,construction laborer,3,12.68,Hour,12.68,Hour
2627,H-400-14013-980679,2014-01-27,2014-01-13,Certification,H-2B,CA,2014-02-02,2014-11-24,Gary Morse Concessions,1544 E 6th Street,"(Mail: PO Box 938, Banning, CA 92220)",Beaumont,CA,92223,"JKJ WORKFORCE AGENCY, INC",JAMES JUDKINS,RIO HONDO,TX,39-3091,Amusement and Recreation Attendants,Amusement and Recreation Attendants - Traveling Ca,8,8.95,Hour,8.95,Hour
2628,H-400-14016-883413,2014-02-20,2014-01-22,Certification,H-2B,MS,2014-03-15,2014-12-15,Backyard Lawn LLC,"P. O. Box 562, Hernando, MS  38632 (mailing)",5863 Scott Blvd.,Horn Lake,MS,38637,The Labor Company LLC (TLC),Evelyn Wright,Amherst,VA,37-3011,Landscaping and Groundskeeping Workers,landscape laborer,15,8.97,Hour,8.97,Hour
2629,H-400-14016-046104,2014-02-11,2014-01-16,Certification,H-2B,MO,2014-04-01,2014-12-14,"Kirkwood Material Supply, Inc.",800 South Fillmore,,Kirkwood,MO,63122,"Arthur G. Carr III, Esq.",Arthur Carr III,St. Louis,MO,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,30,9.4,Hour,9.4,Hour
2630,H-400-14016-762579,2014-02-11,2014-01-16,Certification,H-2B,AZ,2014-02-21,2014-11-30,"PAUL JOHNSON DRYWALL, INC.",1620 WILLOW CREEK RD,,PRESCOTT,AZ,86301,Foremen Inc,Jesus Leon,Laveen,AZ,47-3019,"Helpers, Construction Trades, All Other",General laborer,70,14.65,Hour,14.65,Hour
2631,H-400-14016-211360,2014-02-10,2014-01-16,Certification,H-2B,MA,2014-03-15,2014-12-15,J and V Corporation,184 Centre Street,,Dover,MA,02030,"Pabian Law, LLC",Keith Pabian,Framingham,MA,27-2022,Coaches and Scouts,Staff Soccer Coach,2,22.97,Hour,22.97,Hour
2632,H-400-14036-033868,2014-02-19,2014-02-05,Certification,H-2B,ND,2014-04-01,2014-11-01,THEODORE ROOSEVELT MEDORA FOUNDATION,301 5TH STREET,PO BOX 198,MEDORA,ND,58645,"Employment USA, LLC",KEVIN OPP,ABERDEEN,SD,35-2014,"Cooks, Restaurant",COOK,21,11.01,Hour,11.01,Hour
2633,H-400-14036-122611,2014-02-19,2014-02-05,Certification,H-2B,MA,2014-05-01,2014-10-15,MIDISH CORP,PO BOX 388,2 HARBOR SQUARE,NANTUCKET,MA,02554,PEAK SEASON WORKFORCE,JOSEPH BISHOP,MASHPEE,MA,35-9021,Dishwashers,KITCHEN WORKERS,18,11.0,Hour,11.0,Hour
2634,H-400-14036-605986,2014-05-19,2014-04-25,Denied,H-2B,MI,2014-04-01,2014-11-30,"THE BAYBERRY GROUP, INC",1 WOOD RIDGE ROAD,,GLEN ARBOR,MI,49636,Butzel Long,Scott Patterson,Bloomfield Hills,MI,35-2014,"Cooks, Restaurant",Cook,0,11.54,Hour,11.54,Hour
2635,H-400-14035-982463,2014-02-19,2014-02-05,Certification,H-2B,MA,2014-05-01,2014-10-15,MIDISH CORP,PO BOX 388,2 HARBOR SQUARE,NANTUCKET,MA,02554,PEAK SEASON WORKFORCE,JOSEPH BISHOP,MASHPEE,MA,35-9011,Dining Room and Cafeteria Attendants and Bartender,DINING ROOM ATTENDANTS,16,11.88,Hour,11.88,Hour
2636,H-400-14023-584339,2014-02-19,2014-01-23,Withdrawn,H-2B,TX,2014-05-01,2015-05-01,Ferrer Group LLC,14080 Nacogdoches Rd #307,,San Antonio,TX,78247,Redgate Law Office,Steven Redgate,San Antonio,TX,53-7061,Cleaners of Vehicles and Equipment,sanitation worker,0,9.44,Hour,9.44,Hour
2637,H-400-14032-274067,2014-02-14,2014-02-01,Certification,H-2B,DE,2014-04-01,2014-12-20,"Apgar Turf Farm, Inc.",1381 Smyrna Leipsic Road,P.O. Box 587,Smyrna,DE,19977,"másLabor H-2B, LLC",Elizabeth Whitley,Lovingston,VA,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,3,9.46,Hour,9.46,Hour
2638,H-400-14031-695849,2014-02-20,2014-02-03,Withdrawn,H-2B,MD,2014-05-17,2014-09-21,"AMERICAN POOL ENTERPRISES, INC",11515 CRONRIDGE DRIVE,Suite Q,OWINGS MILLS,MD,21117,,,,,33-9092,"Lifeguards, Ski Patrol, and Other Recreational",Lifeguard,0,9.9,Hour,9.9,Hour
2639,H-400-14022-659256,2014-02-05,2014-01-22,Partial Certification,H-2B,OH,2014-03-03,2014-11-28,"Rosby Resource Recycling, Inc.",4963 Schaaf Lane,,Brooklyn Heights,OH,44131,"másLabor H-2B, LLC",Elizabeth Whitley,Lovingston,VA,51-9198,Helpers--Production Workers,Production Laborers,6,10.31,Hour,10.31,Hour
2640,H-400-14029-888371,2014-02-13,2014-01-30,Certification,H-2B,DE,2014-03-01,2014-12-01,"Accents of Nature Landscaping, Inc.",PO Box 4484,,Wilmngton,DE,19807,"LAW OFFICE OF MICHELE CONTRERAS, LLC",MICHELE CONTRERAS,Cherry Hill,NJ,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,7,14.04,Hour,14.04,Hour
2641,H-400-14037-065131,2014-03-05,2014-02-06,Certification,H-2B,NY,2014-04-01,2014-11-30,CHRISTOPHER STEPHENS,653 MONTAUK HIGHWAY,,MONTAUK,NY,11954,ZWAIK GILBERT & ASSOCIATES,MITCHELL ZWAIK,RONKONKOMA,NY,41-2011,Cashiers,Cashier,10,10.19,Hour,10.19,Hour
2642,H-400-14003-302506,2014-01-17,2014-01-03,Partial Certification,H-2B,VA,2014-03-17,2014-12-12,Bryan's Complete Lawn Service Inc.,12134 Washington Highway,,Ashland,VA,23005,"másLabor H-2B, LLC",Elizabeth Whitley,Lovingston,VA,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,26,10.36,Hour,10.36,Hour
2643,H-400-14003-935272,2014-01-21,2014-01-03,Certification,H-2B,NC,2014-03-07,2014-12-01,Heaven & Earth Landscaping LLC,6331 Westgate Rd.,"PO Box 1800; Indian Trail, NC; 28079",Raleigh,NC,27617,International Labor Management Corp,Daniel Farrell,Vass,NC,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,75,9.35,Hour,9.35,Hour
2644,H-400-14016-600180,2014-01-30,2014-01-16,Partial Certification,H-2B,NJ,2014-02-15,2014-12-15,Garden Greenhouse & Nursery Inc,1919 North Rt. 9,N/a,Clermont,NJ,08210,Federation of Employers and Workers of America,RITA ROMERO,BAY CITY,TX,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,5,11.8,Hour,11.8,Hour
2645,H-400-14006-102886,2014-01-22,2014-01-06,Certification,H-2B,FL,2014-02-01,2014-11-02,"PARADISE AMUSEMENTS, INC",100 NW 76TH TERRACE,"[MAIL: 3101 SW 34TH AVE., OCALA, FL 34474]",OCALA,FL,34482,"JKJ WORKFORCE AGENCY, INC",JAMES JUDKINS,RIO HONDO,TX,39-3091,Amusement and Recreation Attendants,Amusement and Recreation Attendants,40,340.0,Week,340.0,Week
2646,H-400-14008-935737,2014-01-31,2014-01-08,Partial Certification,H-2B,OK,2014-02-03,2014-12-01,Arkoma Enterprise,906 S. 67th Lane,,Fort Smith,AR,72903,"THE FOWLER LAW FIRM, PC",DANIEL KOWALSKI,AUSTIN,TX,47-5051,"Rock Splitters, Quarry",Rock Splitters,12,14.35,Hour,14.35,Hour
