AGENT_ATTORNEY_ADDRESS,AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_STATE,ALIEN_WORK_STATE,APPLICATION_TYPE,BASIC_RATE_OF_PAY,BASIC_UNIT_OF_PAY,CASE_NUMBER,CASE_STATUS,CERTIFICATION_BEGIN_DATE,CERTIFICATION_END_DATE,DECISION_DATE,DOT_NAME,DOT_OCCUPATIONAL_CODE,EMPLOYER_ADDRESS1,EMPLOYER_ADDRESS2,EMPLOYER_CITY,EMPLOYER_NAME,EMPLOYER_POSTAL_CODE,EMPLOYER_STATE,FY,JOB_TITLE,LAWFIRM_NAME,NBR_WORKERS_CERTIFIED,NBR_WORKERS_REQUESTED,NPC_SUBMITTED_DATE,PREVAILING_WAGE,PW_UNIT_OF_PAY,RECENT_DECISION_DATE,SOC_CODE,SOC_NAME,VISA_CLASS
1900 SUPERIOR AVE.,CLEVELAND,"BRANISLAV HRUZ, ESQ.",OH,CO,,7.32,HR,C-08184-37819,DENIED,10/1/08,1/31/09,8/18/08,,,3100 S. SHERIDAN BLVD UNIT 1C-325,,DENVER,SMS MARKETING INC.,80227,CO,2008,"SALESPERSON, COSMETICS AND TOILETRIES",,0,,7/2/08,7.32,HR,,,,
1900 SUPERIOR AVE.,CLEVELAND,"BRANISLAV HRUZ, ESQ.",OH,CO,,7.59,HR,C-08184-37829,DENIED,10/1/08,1/31/09,8/18/08,,,3100 S. SHERIDAN BLVD UNIT 1C-325,,DENVER,SMS MARKETING INC.,80227,CO,2008,"SALESPERSON, COSMETICS AND TOILETRIES",,0,,7/2/08,7.59,HR,,,,
,,,,CO,,8,HR,C-08184-37820,CERTIFIED,10/15/08,5/1/09,8/18/08,,,4000 THE CANYONS RESORT DRIVE,,PARK CITY,ASC UTAH DBA THE CANYONS RESORT,84098,UT,2008,HOTEL CLERK,,40,,7/2/08,7.55,HR,,,,
THE MCNAMARA FIRM L.P.,AUSTIN,JOHN MCNAMARA,TX,CO,,7.02,HR,C-08203-38647,CERTIFIED,10/15/08,4/16/09,8/19/08,,,675 EAST DURANT AVENUE,,ASPEN,ASPEN SKIING COMPANY DBA THE LITTLE NELL HOTEL,81611,CO,2008,BELLHOP,,20,,7/21/08,7.02,HR,,,,
THE MCNAMARA FIRM L.P.,AUSTIN,JOHN MCNAMARA,TX,CO,,7.02,HR,C-08203-38648,CERTIFIED,10/15/08,4/16/09,8/19/08,,,675 EAST DURANT AVENUE,,ASPEN,ASPEN SKIING COMPANY DBA THE LITTLE NELL HOTEL,81611,CO,2008,DINING ROOM ATTENDANT,,56,,7/21/08,7.02,HR,,,,
THE MCNAMARA FIRM L.P.,AUSTIN,JOHN MCNAMARA,TX,CO,,11,HR,C-08203-38661,CERTIFIED,10/15/08,4/16/09,8/19/08,,,675 EAST DURANT AVENUE,,ASPEN,ASPEN SKIING COMPANY DBA THE LITTLE NELL HOTEL,81611,CO,2008,COOK HELPER,,20,,7/21/08,7.7,HR,,,,
THE MCNAMARA FIRM L.P.,AUSTIN,JOHN MCNAMARA,TX,CO,,12,HR,C-08203-38644,CERTIFIED,10/15/08,4/16/09,8/19/08,,,675 EAST DURANT AVENUE,,ASPEN,ASPEN SKIING COMPANY DBA THE LITTLE NELL HOTEL,81611,CO,2008,"CLEANER, HOUSEKEEPING",,45,,7/21/08,9.03,HR,,,,
,,,,CO,,9.17,HR,C-08206-38793,CERTIFIED,10/25/08,4/19/09,8/19/08,,,2305 MT. WERNER CIRCLE,,STEAMBOAT SPRINGS,STEAMBOAT SKI & RESORT CORPORATION,80487,CO,2008,"CLEANER, HOUSEKEEPING",,18,,7/24/08,9.03,HR,,,,
,,,,CO,,9.6,HR,C-08206-38792,CERTIFIED,10/25/08,4/19/09,8/19/08,,,2305 MT. WERNER CIRCLE,,STEAMBOAT SPRINGS,STEAMBOAT SKI & RESORT CORPORATION,80487,CO,2008,JANITOR,,8,,7/24/08,9.58,HR,,,,
,,,,CO,,10.5,HR,C-08206-38795,CERTIFIED,10/25/08,4/19/09,8/19/08,,,2305 MT. WERNER CIRCLE,,STEAMBOAT SPRINGS,STEAMBOAT SKI & RESORT CORPORATION,80487,CO,2008,SKI TOW OPERATOR,,3,,7/24/08,6.65,HR,,,,
,,,,CO,,9,HR,C-08206-38791,CERTIFIED,10/25/08,4/19/09,8/19/08,,,2305 MT. WERNER CIRCLE,,STEAMBOAT SPRINGS,STEAMBOAT SKI & RESORT CORPORATION,80487,CO,2008,SKI TOW OPERATOR,,74,,7/24/08,6.65,HR,,,,
,,,,CO,,9.55,HR,C-08206-38787,CERTIFIED,10/25/08,4/19/09,8/19/08,,,2305 MT. WERNER CIRCLE,,STEAMBOAT SPRINGS,STEAMBOAT SKI & RESORT CORPORATION,80487,CO,2008,TICKET SELLER,,20,,7/24/08,8.82,HR,,,,
,,,,CO,,9.55,HR,C-08206-38797,CERTIFIED,10/25/08,4/19/09,8/19/08,,,2305 MT. WERNER CIRCLE,,STEAMBOAT SPRINGS,STEAMBOAT SKI & RESORT CORPORATION,80487,CO,2008,CASHIER CHECKER,,4,,7/24/08,9.5,HR,,,,
,,,,CO,,9.25,HR,C-08206-38796,CERTIFIED,10/25/08,4/19/09,8/19/08,,,2305 MT. WERNER CIRCLE,,STEAMBOAT SPRINGS,STEAMBOAT SKI & RESORT CORPORATION,80487,CO,2008,TOOL AND EQUIPMENT RENTAL CLERK,,14,,7/24/08,9.19,HR,,,,
"INTEREXCHANGE, INC.",NEW YORK,DANIEL REISNER,NY,CO,,12.77,HR,C-07233-27273,CERTIFIED,11/12/07,4/20/08,8/19/08,,,75 PROSPECTOR ROAD,,ASPEN,"THE RITZ-CARLTON CLUB, ASPEN HIGHLANDS",81611,CO,2008,"CLEANER, HOUSEKEEPING",,10,,8/21/07,9.03,HR,,,,
"1633 BABCOCK ROAD, PMB 421",SAN ANTONIO,GUSTAVO GARCIA,TX,CO,,9.17,HR,C-08210-38843,CERTIFIED,10/20/08,5/15/09,8/19/08,,,210 OFFERSON DR. 304,UNIT A,BEAVER CREEK,"DUSTY BOOT, LLC",81620,CO,2008,COOK HELPER,,20,,7/28/08,9.17,HR,,,,
,,,,CO,,8.5,HR,C-08206-38782,CERTIFIED,10/25/08,4/19/09,8/19/08,,,2305 MT. WERNER CIRCLE,,STEAMBOAT SPRINGS,STEAMBOAT SKI & RESORT CORPORATION,80487,CO,2008,KITCHEN HELPER,,9,,7/24/08,7.69,HR,,,,
,,,,CO,,9,HR,C-08206-38777,CERTIFIED,10/25/08,4/19/09,8/19/08,,,2305 MT. WERNER CIRCLE,,STEAMBOAT SPRINGS,STEAMBOAT SKI & RESORT CORPORATION,80487,CO,2008,NURSERY SCHOOL ATTENDANT,,6,,7/24/08,7.1,HR,,,,
,,,,CO,,10,HR,C-08206-38781,PARTIAL CERTIFIED,10/25/08,4/19/09,8/20/08,,,2305 MT. WERNER CIRCLE,,STEAMBOAT SPRINGS,STEAMBOAT SKI & RESORT CORPORATION,80487,CO,2008,ADMINISTRATIVE CLERK,,2,,7/24/08,9.56,HR,,,,
1799 PENNSYLVANIA STREET,DENVER,RYAN ADAIR,CO,CO,,14.2,HR,C-08203-38680,CERTIFIED,10/15/08,4/30/09,8/20/08,,,1801 BRYANT STREET #1500,,DENVER,NATIONAL SPORTS CENTER FOR THE DISABLED,80204,CO,2008,"INSTRUCTOR, SPORTS",,5,,7/21/08,11.36,HR,,,,
,,,,CO,,7.02,HR,C-08206-38801,CERTIFIED,10/25/08,4/19/09,8/20/08,,,2305 MT. WERNER CIRCLE,,STEAMBOAT SPRINGS,STEAMBOAT SKI & RESORT CORPORATION,80487,CO,2008,DINING ROOM ATTENDANT,,21,,7/24/08,6.07,HR,,,,
,,,,CO,,13.75,HR,C-08206-38800,CERTIFIED,10/25/08,4/19/09,8/20/08,,,2305 MT. WERNER CIRCLE,,STEAMBOAT SPRINGS,STEAMBOAT SKI & RESORT CORPORATION,80487,CO,2008,"INSTRUCTOR, SPORTS",,25,,7/24/08,13.59,HR,,,,
,,,,CO,,15.5,HR,C-08206-38778,CERTIFIED,10/25/08,4/19/09,8/20/08,,,2305 MT. WERNER CIRCLE,,STEAMBOAT SPRINGS,STEAMBOAT SKI & RESORT CORPORATION,80487,CO,2008,"INSTRUCTOR, SPORTS",,25,,7/24/08,15.45,HR,,,,
HOLLAND & HART,DENVER,JOCELYN CAMPANARO,CO,CO,,17.47,HR,C-08210-38834,CERTIFIED,9/15/08,7/15/09,8/22/08,,,P.O. BOX 8403,,AVON,VOKNA WINDOWS AND DOORS,81620,CO,2008,GLAZIER,,2,,7/28/08,17.47,HR,,,,
STERN ELKIND & CURRAY & ALTERMAN LLP,DENVER,EMILY J. CURRAY,CO,CO,,10.68,HR,C-08203-38655,PARTIAL CERTIFIED,10/15/08,8/1/09,8/25/08,,,434 EDWARDS ACCESS ROAD  2ND FLOOR,,EDWARDS,EAST WEST RESORT TRANSPORTATION D/B/A COLORADO MOU,81632,CO,2008,TICKET AGENT,,5,,7/21/08,10.68,HR,,,,
VISA LAW GROUP,D.C.,PHILIP  D. MERVIS,WA,CO,,8.45,HR,C-08218-39019,CERTIFIED,11/1/08,4/30/09,8/26/08,,,P.O. BOX  3548,,COPPER MOUNTAIN,COPPER MOUNTAIN RESORT,80443,CO,2008,COOK,,67,,8/5/08,8.45,HR,,,,
VISA LAW GROUP,D.C.,PHILIP D. MERVIS,WA,CO,,9.76,HR,C-08218-39037,CERTIFIED,11/1/08,4/30/09,8/26/08,,,P.O. BOX  3548,,D.C.,COPPER MOUNTAIN RESORT,80443,WA,2008,SKI PATROLLER,,9,,8/5/08,9.76,HR,,,,
12221 SOUTH MOPAC EXPWY. STE. 100,AUSTI N,JOHN MCNAMARA,TX,CO,,10.78,HR,C-08217-38983,CERTIFIED,11/1/08,5/10/09,8/26/08,,,601 RAINBOW DRIVE UNIT 547-C,,SILVERTHORNE,SKI WORLD INC.,80498,CO,2008,COOK,,19,,8/4/08,7.43,HR,,,,
VISA LAW GROUP,D.C.,PHILIP D. MERVIS,WA,CO,,9.56,HR,C-08200-38584,CERTIFIED,10/15/08,4/30/09,8/26/08,,,P.O. BOX 3548,,COPPER MOUNTAIN,COPPER MOUNTAIN RESORT,80443,CO,2008,HOTEL CLERK,,63,,8/5/08,9.56,HR,,,,
VISA LAW GROUP,DC,PHILIP D. MERVIS,WA,CO,,9.25,HR,C-08189-37958,CERTIFIED,11/1/08,4/30/09,8/26/08,,,P.O. BOX 3548,,COPPER MOUNTAIN,COPPER MOUNTAIN RESORT,80443,CO,2008,HOUSEKEEPER,,89,,8/5/08,9.25,HR,,,,
VISA LAW GROUP,D.C.,PHILIP  D. MERVIS,WA,CO,,9.19,HR,C-08211-38867,CERTIFIED,11/1/08,4/30/09,8/26/08,,,P.O. BOX 3548,,COPPER MOUNTAIN,COPPER MOUNTAIN RESORT,80443,CO,2008,CHILD MONITOR,,23,,8/5/08,9.19,HR,,,,
,,,,CO,,10.51,HR,C-08217-38969,CERTIFIED,11/1/08,4/5/09,8/26/08,,,565 MOUNTAIN VILLAGE BLVD.,,TELLURIDE,TS&G SKI & GOLF,81435,CO,2008,"INSTRUCTOR, SPORTS",,15,,8/4/08,10.51,HR,,,,
,,,,CO,,10.51,HR,C-08217-38971,CERTIFIED,11/1/08,4/5/09,8/26/08,,,565 MOUNTAIN VILLAGE BLVD.,,TELLURIDE,TS&G SKI & GOLF,81435,CO,2008,"INSTRUCTOR, SPORTS",,25,,8/4/08,9.38,HR,,,,
,,,,CO,,12,HR,C-08217-38968,CERTIFIED,11/1/08,4/5/09,8/26/08,,,"565 MOUNTAIN VILLAGE BLVD.,",,TELLURIDE,TSG SKI & GOLF,81435,CO,2008,"INSTRUCTOR, SPORTS",,25,,8/4/08,11.92,HR,,,,
,,,,CO,,11,HR,C-08217-38965,CERTIFIED,11/1/08,4/5/09,8/26/08,,,"565 MOUNTAIN VILLAGE BLVD.,",,TELLURIDE,TSG SKI & GOLF,81435,CO,2008,TICKET SELLER,,4,,8/4/08,7.78,HR,,,,
STERN ELKIND & CURRAY & ALTERMAN LLP,DENVER,EMILY J. CURRAY,CO,CO,,9.45,HR,C-08203-38662,CERTIFIED,10/15/08,8/15/09,8/27/08,,,215 SOUTH SECOND AVENUE,P.O. BOX 2520,FRISCO,"CURES & CURIOSITIES, INC.",80443,CO,2008,SALES CLERK,,7,,7/21/08,9.45,HR,,,,
40207 LINDSAY DR.,STEAMBOAT SPRINGS,"COLLEEN J MILLER, VIABLE RESOURCES",CO,CO,,12.5,HR,C-08204-38712,CERTIFIED,10/1/08,8/1/09,8/27/08,,,"2673 JACOB CIRCLE, #200",,STEAMBOAT SPRINGS,"SPIEGEL  AND SON, INC",80487,CO,2008,PAINTER,,25,,7/21/08,12.47,HR,,,,
1900 SUPERIOR AVE.,CLEVELAND,"BRANISLAV HRUZ, ESQ.",OH,CO,,7.44,HR,C-08190-37987,DENIED,10/1/08,1/31/09,8/29/08,,,2801 COVENTRY TRL#10,,MADISON,"IMPORTAL, INC.",53713,WI,2008,SALES CLERK,,0,,7/7/08,7.44,HR,,,,
,,,,CO,,10.5,HR,C-08217-38966,CERTIFIED,11/1/08,4/5/09,9/3/08,,,"565 MOUNTAIN VILLAGE BLVD.,",,TELLURIDE,TSG SKI & GOLF,81435,CO,2008,RECREATION FACILITY ATTENDANT,,4,,8/4/08,9.82,HR,,,,
2901 BUCKS BAYOU ROAD,BAY CITY,FEDERATION OF EMPLOYERS AND WORKERS  OF AMERICA,TX,CO,,7.72,HR,C-08198-38537,CERTIFIED,10/15/08,3/15/09,9/3/08,,,4501 S. SANTA FE DR.,,ENGLEWOOD,"DESIGNS BY SUNDOWN, INC",80110,CO,2008,SNOW SHOVELER,,35,,7/16/08,7.72,HR,,,,
VISA LAW GROUP,D.C,PHILIP D. MERVIS,WA,CO,,9.94,HR,C-08058-36311,CERTIFIED,11/1/08,4/30/09,9/4/08,,,P.O. BOX 3548,,COPPER MOUNTAIN,COPPER MOUNTAIN RESORT,80443,CO,2008,"INSTRUCTOR, SPORTS",,148,,8/5/08,9.94,HR,,,,
161 SIXTH AVENUE,NEW YORK,DANIEL REISNER,NY,CO,,10,HR,C-08217-38993,CERTIFIED,11/1/08,4/15/09,9/5/08,,,315 EAST DEAN STREET,,ASPEN,THE ST. REGIS RESORT ASPEN,81611,CO,2008,"CLEANER, HOUSEKEEPING",,10,,8/4/08,9.25,HR,,,,
"INTEREXCHANGE, INC.",NEW YORK,DANIEL REISNER,NY,CO,,13,HR,C-08217-38974,CERTIFIED,11/1/08,4/15/09,9/5/08,,,315 EAST DEAN STREET,,ASPEN,THE ST. REGIS RESORT ASPEN,81611,CO,2008,HOTEL CLERK,,15,,8/4/08,11.59,HR,,,,
"INTEREXCHANGE, INC.",NEW YORK,DANIEL REISNER,NY,CO,,7.13,HR,C-08217-38986,CERTIFIED,11/1/08,4/15/09,9/5/08,,,315 EAST DEAN STREET,,ASPEN,THE ST. REGIS RESORT ASPEN,81611,CO,2008,"WAITER/WAITRESS, INFORMAL",,10,,8/4/08,7.13,HR,,,,
"1633 BABCOCK ROAD, PMB 421",SAN ANTONIO,GUSTAVO GARCIA,TX,CO,,10.27,HR,C-08226-39237,CERTIFIED,10/26/08,4/30/09,9/5/08,,,210 THE PLAZA,,BEAVER CREEK,"DIAMOND FIVE, LTD (DBA COYOTE CAFE)",81620,CO,2008,COOK,,10,,8/13/08,9.48,HR,,,,
"INTEREXCHANGE, INC.",NEW YORK,DANIEL REISNER,NY,CO,,13,HR,C-08217-38984,CERTIFIED,11/1/08,4/20/09,9/5/08,,,75 PROSPECTOR ROAD,,ASPEN,"THE RITZ-CARLTON, ASPEN HIGHLANDS",81611,CO,2008,DINING ROOM ATTENDANT,,15,,8/4/08,7.14,HR,,,,
"INTEREXCHANGE, INC.",NEW YORK,DANIEL REISNER,NY,CO,,12.37,HR,C-08217-38982,CERTIFIED,11/1/08,4/20/09,9/5/08,,,75 PROSPECTOR ROAD,,ASPEN,"THE RITZ-CARLTON, ASPEN HIGHLANDS",81611,CO,2008,HOTEL CLERK,,27,,8/4/08,11.59,HR,,,,
161 SIXTH AVENUE,NEW YORK,"DANIEL REISNER- INTEREXCHANGE, INC",NY,CO,,14.15,HR,C-08217-39004,CERTIFIED,11/1/08,4/20/09,9/5/08,,,75 PROSPECTOR ROAD,,ASPEN,"THE RITZ-CARLTON CLUB, ASPEN HIGHLANDS",81611,CO,2008,"CLEANER, HOUSEKEEPING",,10,,8/4/08,9.25,HR,,,,
VISA LAW GROUP,WASHINGTON,PHILIP D. MERVIS,DC,CO,,9.88,HR,C-08249-39511,CERTIFIED,11/1/08,4/30/09,9/5/08,,,"85 PARSENN RD., P.O. BOX 36",,WINTER PARK,INTRAWEST WINTER PARK OPERATIONS CORP.,80482,CO,2008,"INSTRUCTOR, SPORTS",,131,,8/5/08,9.88,HR,,,,
2901 BUCKS BAYOU ROAD,BAY CITY,FEDERATION OF EMPLOYERS AND WORKERS OF AMERICA,TX,CO,,10.23,HR,C-08220-39076,CERTIFIED,11/1/08,3/20/09,9/5/08,,,1282 W. OAK GROVE RD,,MONTROSE,SUMMIT METAL WORKS,81401,CO,2008,SNOW SHOVELER,,90,,8/7/08,10.23,HR,,,,
,,,,CO,,11.57,HR,C-08219-39057,CERTIFIED,11/1/08,5/1/09,9/8/08,,,P.O. BOX 1248,,ASPEN,ASPEN SKIING COMPANY,81612,CO,2008,RECREATION FACILITY ATTENDANT,,10,,8/6/08,9.42,HR,,,,
,,,,CO,,9.54,HR,C-08219-39068,PARTIAL CERTIFIED,11/1/08,5/1/09,9/8/08,,,P.O. BOX 1248,,ASPEN,ASPEN SKIING COMPANY,81612,CO,2008,SALES CLERK,,30,,8/6/08,9.54,HR,,,,
,,,,CO,,10,HR,C-08219-39054,PARTIAL CERTIFIED,11/1/08,5/1/09,9/8/08,,,P.O. BOX 1248,,ASPEN,ASPEN SKIING COMPANY,81612,CO,2008,"CHILD CARE ATTENDANT, SCHOOL",,70,,8/6/08,9.19,HR,,,,
,,,,CO,,9,HR,C-08219-39059,PARTIAL CERTIFIED,11/1/08,5/1/09,9/8/08,,,P.O. BOX 1248,,ASPEN,ASPEN SKIING COMPANY,81612,CO,2008,"WAITER/WAITRESS, INFORMAL",,27,,8/6/08,7.13,HR,,,,
,,,,CO,,10,HR,C-08219-39066,CERTIFIED,11/1/08,5/1/09,9/8/08,,,P.O. BOX 1248,,ASPEN,ASPEN SKIING COMPANY,81612,CO,2008,SKI TOW OPERATOR,,110,,8/6/08,9.42,HR,,,,
8809 SWAMMP FOX HIGHWAY WEST SUITE 102,TABOR CITY,PRATICAL EMPLOYEE SOLUTIONS VERONICA T. STRICKLAND,NC,CO,,10,WK,C-08224-39147,CERTIFIED,11/1/08,8/31/09,9/8/08,,,47 EAST BEAVER CREEK BOULEVARD,,AVON,CHRISTIE  LODGE OWNER'S ASSOCIATION,81620,CO,2008,HOTEL CLERK,,8,,8/11/08,9.56,WK,,,,
,,,,CO,,10,HR,C-08219-39049,PARTIAL CERTIFIED,11/1/08,5/1/09,9/8/08,,,P.O. BOX 1248,,ASPEN,ASPEN SKIING COMPANY,81612,CO,2008,AMUSEMENT PARK WORKER,,20,,8/6/08,9.42,HR,,,,
"8809 SWAMP FOX HWY. WEST, SUITE 102",TABOR CITY,"PRACTICAL EMPLOYE SOLUTIONS, VERONICA T. STRICKLAN",NC,CO,,9.25,HR,C-08225-39209,CERTIFIED,11/1/08,8/31/09,9/8/08,,,47 EAST BEAVER CREEK BOULEVARD,,AVON,CHRISTIE LODGE OWNER'S ASSN.,81620,CO,2008,"CLEANER, HOUSEKEEPING",,30,,8/11/08,9.25,HR,,,,
7802 KINGSPOINTE PKWY,ORLANDO,"DIANE HOLLOWAY, DHI LLC",FL,CO,,11.28,HR,C-08217-38977,CERTIFIED,11/1/08,4/30/09,9/9/08,,,0130 DAYBREAK RIDGE,,AVON,"THE RITZ-CARLTON, BACHELOR GULCH",81620,CO,2008,"CLEANER, HOUSEKEEPING",,30,,8/4/08,9.25,HR,,,,
,,,,CO,,10,HR,C-08225-39210,CERTIFIED,10/15/08,4/15/09,9/10/08,,,16 VAIL ROAD,,VAIL,"VAIL PLAZA HOTEL MANAGEMENT, LLC",81657,CO,2008,"CLEANER, HOUSEKEEPING",,24,,8/12/08,9.25,HR,,,,
,,,,CO,,12,HR,C-08023-35344,DENIED,2/10/08,6/10/08,9/10/08,,,1503 CRAWFORD WAY,,GLENWOOD SPRINGS,SHERPA ENTERPRISES,81601,CO,2008,"CLEANER, HOUSEKEEPING",,0,,1/22/08,6.97,HR,,,,
PO BOX 3487,VAIL,AMY J. NOVAK/THE NOVAK LAW OFFICE,CO,CO,,10.5,HR,C-08227-39247,CERTIFIED,12/1/08,4/30/09,9/11/08,,,P.O. BOX 1111,,AVON,"DANIEL'S FOODS, INC.",81620,CO,2008,COOK,,4,,8/12/08,10.27,HR,,,,
PO BOX 3487,VAIL,AMY J. NOVAK/THE NOVAK LAW OFFICE,CO,CO,,7.15,HR,C-08227-39246,CERTIFIED,12/1/08,4/30/09,9/11/08,,,P.O. BOX 1111,,AVON,"DANIEL'S FOODS, INC.",81620,CO,2008,"WAITER/WAITRESS, INFORMAL",,2,,8/12/08,7.13,HR,,,,
"LAW OFFICE OF CHRIS POOLEY, ESQ.",AVON,"CHRIS POOLEY, ESQ.",CO,CO,,13.76,HR,C-08011-34372,DENIED,4/1/08,12/31/08,9/11/08,,,5910 COUNTY ROAD 10,,TWIN LAKES,"STONE AGE DESIGNS, INC.",81251,CO,2008,STONEMASON,,0,,1/8/08,13.76,HR,,,,
SVETLANA SCHREIBER & ASSOC. CO. L.P.A.,CLEVELAND,SVETLANA SCHREIBER,OH,CO,,7.32,HR,C-08197-38421,DENIED,10/1/08,1/31/09,9/12/08,,,7400 S STATE STREET #11201,,MIDVALE,"LT MARKETING, INC.",84047,UT,2008,SALES CLERK,,0,,7/14/08,7.32,HR,,,,
"LAW OFFICE OF CHRIS POOLEY, ESQ",AVON,CHRIS POOLEY ESQ,CO,CO,,11.43,HR,C-08231-39314,CERTIFIED,10/15/08,11/1/08,9/12/08,,,P.O. BOX 3729,0007 W. DEWEY PARK,EAGLE,"AMERICAN LAWN CARE & IRRIGATION, INC.",81631,CO,2008,"LABORER, LANDSCAPE",,10,,8/18/08,11.43,HR,,,,
555 17TH ST.,DENVER,ANGELICA M. OCHOA,CO,CO,,8.2,HR,C-08224-39162,CERTIFIED,10/13/08,4/30/09,9/16/08,,,"11901 W. 48TH AVE, SUITE 200",,WHEAT RIDGE,"SHARPSHOOTER SPECTRUM VENTURE, LLC",80033,CO,2008,"SALES REPRESENTATIVE, DOOR TO DOOR",,69,,8/11/08,7.99,HR,,,,
"INTEREXCHANGE, INC",NEW YORK,REBECCA SADEK,NY,CO,,13,HR,C-08235-39363,CERTIFIED,11/20/08,4/7/09,9/17/08,,,400 WOOD RD,,SNOWMASS VILLAGE,"THE CRESTWOOD CONDOMINIUM ASSN,INC",81615,CO,2008,HOTEL CLERK,,8,,8/22/08,9.56,HR,,,,
227 W. MONROE ST.,CHICAGO,JULIE APONTE,IL,CO,,9.5,HR,C-08235-39348,CERTIFIED,11/17/08,4/30/09,9/17/08,,,100 S. MAIN STREET,P.O. BOX 568,BRECKENRIDGE,"GOLD POINT LODGING & REALTY, INC., DBA GRAND TIMBE",80424,CO,2008,"CLEANER, HOUSEKEEPING",,10,,8/22/08,9.25,HR,,,,
,,,,CO,,9.56,HR,C-08235-39350,CERTIFIED,11/15/08,5/15/09,9/17/08,,,PO BOX 2115,620 VILLAGE RD.,BRECKENRIDGE,BEAVER RUN RESORT AND CONFERENCE CENTER,80424,CO,2008,HOTEL CLERK,,2,,8/22/08,9.56,HR,,,,
,,,,CO,,9.39,HR,C-08235-39362,CERTIFIED,11/15/08,5/15/09,9/17/08,,,620 VILLAGE RD. PO BOX 2115,,BRECKENRIDGE,BEAVER RUN RESORT AND CONFERENCE CENTER,80424,CO,2008,COOK HELPER,,10,,8/22/08,9.39,HR,,,,
,,,,CO,,11.43,HR,C-08231-39313,CERTIFIED,11/15/08,4/15/09,9/17/08,,,840 DEER BLVD,P.O. BOX 191,AVON,SIMON PROPERTY SERVICES,81620,CO,2008,SNOW SHOVELER,,20,,8/18/08,9.58,HR,,,,
14000 LA PALMA RANCH ROAD,MANCHACA,"IAN BENOUIS, ATTORNEY AT LAW",TX,CO,,9.25,HR,C-08235-39368,CERTIFIED,11/15/08,9/15/09,9/17/08,,,20 VAIL ROAD,,VAIL,"SONNENALP PROPERTIES, INC.",81657,CO,2008,"CLEANER, HOUSEKEEPING",,40,,8/22/08,9.25,HR,,,,
,,,,CO,,8,HR,C-08227-39259,CERTIFIED,10/31/08,4/30/09,9/17/08,,,"390 INTERLOCKEN CRESCENT, SUITE 1000",,BROOOMFIELD,"VAIL RESORTS, INC.",80021,CO,2008,DINING ROOM ATTENDANT,,45,,8/14/08,8,HR,,,,
,,,,CO,,9.19,HR,C-08225-39176,CERTIFIED,10/31/08,4/30/09,9/17/08,,,"390 INTERLOCKEN CRESCENT, SUITE 1000",,BROOMFIELD,"VAIL RESORTS, INC.",80021,CO,2008,"CHILD CARE ATTENDANT, SCHOOL",,57,,8/11/08,9.19,HR,,,,
,,,,CO,,9.42,HR,C-08225-39177,CERTIFIED,10/31/08,4/30/09,9/17/08,,,"390 INTERLOCKEN CRESCENT, SUITE 1000",,BROOMFIELD,"VAIL RESORTS, INC.",80021,CO,2008,SKI TOW OPERATOR,,200,,8/11/08,9.42,HR,,,,
,,,,CO,,11.38,HR,C-08224-39153,CERTIFIED,10/31/08,4/30/09,9/17/08,,,"390 INTERLOCKEN CRESCENT, SUITE 1000",,BROOMFIELD,"VAIL RESORTS, INC.",80021,CO,2008,"INSTRUCTOR, SPORTS",,88,,8/11/08,11.38,HR,,,,
,,,,CO,,12.54,HR,C-08224-39154,CERTIFIED,10/31/08,4/30/09,9/17/08,,,"390 INTERLOCKEN CRESCENT, SUITE 1000",,BROOMFIELD,"VAIL RESORTS, INC.",80021,CO,2008,"INSTRUCTOR, SPORTS",,159,,8/11/08,12.54,HR,,,,
,,,,CO,,9.25,HR,C-08225-39179,CERTIFIED,10/31/08,4/30/09,9/17/08,,,"390 INTERLOCKEN CRESCENT, SUITE 1000",,BROOMFIELD,"VAIL RESORTS, INC.",80021,CO,2008,"CLEANER, HOUSEKEEPING",,361,,8/11/08,9.25,HR,,,,
,,,,CO,,8,HR,C-08227-39260,CERTIFIED,10/31/08,4/30/09,9/17/08,,,"390 INTERLOCKEN CRECENT, SUITE,1000",,BROOMFIELD,"VAIL RESORTS, INC.",80021,CO,2008,CASHIER I,,12,,8/14/08,8,HR,,,,
,,,,CO,,9.56,HR,C-08225-39183,CERTIFIED,10/31/08,4/30/09,9/17/08,,,"390 INTERLOCKEN CRESCENT, SUITE 1000",,BROOMFIELD,"VAIL RESORTS, INC.",80021,CO,2008,HOTEL CLERK,,71,,8/11/08,9.56,HR,,,,
,,,,CO,,8,HR,C-08227-39258,CERTIFIED,10/31/08,4/30/09,9/17/08,,,"390 INTERLOCKEN CRESCENT, SUITE1000",,BROOMFIELD,"VAIL RESORTS, INC.",80021,CO,2008,AMUSEMENT PARK WORKER,,40,,8/14/08,8,HR,,,,
,,,,CO,,8,HR,C-08227-39257,PARTIAL CERTIFIED,10/31/08,4/30/09,9/17/08,,,"390 INTERLOCKEN CRESENT, SUITE 1000",,BROOMFIELD,"VAIL RESORTS, INC.",80021,CO,2008,LIFEGUARD,,4,,8/14/08,8,HR,,,,
