,CASE_NO,DECISION_DATE,VISA_CLASS,CASE_RECEIVED_DATE,CASE_STATUS,REQUESTED_START_DATE_OF_NEED,REQUESTED_END_DATE_OF_NEED,CERTIFICATION_BEGIN_DATE,CERTIFICATION_END_DATE,EMPLOYER_NAME,EMPLOYER_ADDRESS1,EMPLOYER_ADDRESS2,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_POSTAL_CODE,LAWFIRM_NAME,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_STATE,JOB_TITLE,SOC_CODE_ID,SOC_TITLE,NBR_WORKERS_CERTIFIED,BASIC_NUMBER_OF_HOURS,BASIC_RATE_OF_PAY,BASIC_UNIT_OF_PAY,WORKSITE_LOCATION_CITY,WORKSITE_LOCATION_STATE,ORGANIZATION_FLAG
6138,H-300-14084-538051,2014-05-08 11:57:50,H-2A,2014-04-01 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-06-10 00:00:00,2015-06-09 00:00:00,2014-06-10 00:00:00,2015-06-09 00:00:00,PEDRO MARIA INDACOCHEA,3626 RESERVOIR,,LAKEVIEW,CA,92555,,,,,SHEEPHERDER,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",1.0,40.0,750.0,Month,Bakersfield,AZ,
6139,H-300-14084-538051,2014-05-08 11:57:50,H-2A,2014-04-01 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-06-10 00:00:00,2015-06-09 00:00:00,2014-06-10 00:00:00,2015-06-09 00:00:00,PICKETT RANCH & SHEEP COMPANY INC,568 WEST 1650 SOUTH,,OAKLEY,ID,83346,,,,,SHEEPHERDER,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",1.0,40.0,750.0,Month,Bakersfield,AZ,
6140,H-300-14084-538051,2014-05-08 11:57:50,H-2A,2014-04-01 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-06-10 00:00:00,2015-06-09 00:00:00,2014-06-10 00:00:00,2015-06-09 00:00:00,ECHENIQUE LIVESTOCK,929 BUNTING DRIVE,,BAKERSFIELD,CA,93307,,,,,SHEEPHERDER,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",1.0,40.0,750.0,Month,Bakersfield,AZ,
6141,H-300-14084-538051,2014-05-08 11:57:50,H-2A,2014-04-01 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-06-10 00:00:00,2015-06-09 00:00:00,2014-06-10 00:00:00,2015-06-09 00:00:00,DIAMOND W LAND & LIVESTOCK INC,946 THOUSAND PEAKS ROAD,,TROUT CREEK,UT,84083,,,,,SHEEPHERDER,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",1.0,40.0,750.0,Month,Bakersfield,AZ,
6142,H-300-14084-538051,2014-05-08 11:57:50,H-2A,2014-04-01 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-06-10 00:00:00,2015-06-09 00:00:00,2014-06-10 00:00:00,2015-06-09 00:00:00,WARREN RANCH COMPANY,1961 TORRINGTON ROAD,,CHEYENNE,WY,82009,,,,,SHEEPHERDER,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",1.0,40.0,750.0,Month,Bakersfield,AZ,
6143,H-300-14084-538051,2014-05-08 11:57:50,H-2A,2014-04-01 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-06-10 00:00:00,2015-06-09 00:00:00,2014-06-10 00:00:00,2015-06-09 00:00:00,BRUNO FARMS INC,233 W MARKHAM STREET,,PERRIS,CA,92571,,,,,SHEEPHERDER,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",1.0,40.0,750.0,Month,Bakersfield,AZ,
6144,H-300-14084-538051,2014-05-08 11:57:50,H-2A,2014-04-01 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-06-10 00:00:00,2015-06-09 00:00:00,2014-06-10 00:00:00,2015-06-09 00:00:00,J & A PHILLIPS RANCH,1325 WEST 535 NORTH,,PAUL,ID,83347,,,,,SHEEPHERDER,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",1.0,40.0,750.0,Month,Bakersfield,AZ,
6145,H-300-14084-538051,2014-05-08 11:57:50,H-2A,2014-04-01 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-06-10 00:00:00,2015-06-09 00:00:00,2014-06-10 00:00:00,2015-06-09 00:00:00,JOHN ESPIL SHEEP COMPANY,400 MEADOW ROAD,,LOVELOCK,NV,89419,,,,,SHEEPHERDER,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",1.0,40.0,750.0,Month,Bakersfield,AZ,
6146,H-300-14084-538051,2014-05-08 11:57:50,H-2A,2014-04-01 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-06-10 00:00:00,2015-06-09 00:00:00,2014-06-10 00:00:00,2015-06-09 00:00:00,JOE S. ESNOZ,24351 HWY 46,,LOST HILLS,CA,93249,,,,,SHEEPHERDER,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",1.0,40.0,750.0,Month,Bakersfield,AZ,
6147,H-300-14084-555398,2014-04-29 11:38:16,H-2A,2014-03-25 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-05-09 00:00:00,2014-11-01 00:00:00,2014-05-09 00:00:00,2014-11-01 00:00:00,BAILEY & BAILEY FARMS,198 CR 418,,Calhoun City,MS,38916,International Labor Management Corp,Theresa Ward,Vass,NC,Farmworker: Diversified,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",40.0,40.0,9.87,Hour,Calhoun City,MS,Individual Employer
6148,H-300-14084-620650,2014-04-29 12:23:07,H-2A,2014-03-25 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-05-30 00:00:00,2014-12-04 00:00:00,2014-05-30 00:00:00,2014-12-04 00:00:00,"L.E. ROUSE FARMS, LLC",2946 SMITH COLONY RD.,,KINSTON,NC,28501,ANDREW JACKSON LAW,ANDREW JACKSON,CLINTON,NC,FARMWORKERS & LABORERS,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",8.0,35.0,9.87,Hour,KINSTON,NC,Individual Employer
6149,H-300-14084-711543,2014-04-15 08:48:03,H-2A,2014-03-25 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-05-15 00:00:00,2014-10-30 00:00:00,2014-05-15 00:00:00,2014-10-30 00:00:00,G. DeEugenio & Sons #2,500 University Blvd,,Glassboro,NJ,08028,International Labor Management Corporation,Theresa Ward,Vass,NC,Farmworker; Fruit,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",24.0,35.0,11.06,Hour,Glassboro,NJ,Individual Employer
6150,H-300-14084-716423,2014-04-10 15:54:52,H-2A,2014-04-04 00:00:00,DETERMINATION ISSUED - WITHDRAWN,2014-06-10 00:00:00,2015-06-09 00:00:00,2014-06-10 00:00:00,2015-06-09 00:00:00,WESTERN RANGE ASSOCIATION,"1245 E. BRICKYARD ROAD, SUITE 190",,SALT LAKE CITY,UT,84106,,,,,SHEEPHERDER,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",0.0,40.0,750.0,Month,Rupert,ID,Association - Joint Employer (H-2A Only)
6151,H-300-14084-716423,2014-04-10 15:54:52,H-2A,2014-04-04 00:00:00,DETERMINATION ISSUED - WITHDRAWN,2014-06-10 00:00:00,2015-06-09 00:00:00,2014-06-10 00:00:00,2015-06-09 00:00:00,ETCHEVERRY SHEEP COMPANY INC,325 NORTH 200 EAST,,RUPERT,ID,83350,,,,,SHEEPHERDER,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",0.0,40.0,750.0,Month,Rupert,ID,
6152,H-300-14084-735984,2014-04-24 12:02:53,H-2A,2014-03-25 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-05-24 00:00:00,2014-11-28 00:00:00,2014-05-24 00:00:00,2014-11-28 00:00:00,"Fann Farms, Inc.",220 Oscar Tate Rd,,Salemburg,NC,28385,ANDREW JACKSON LAW,ANDREW JACKSON,CLINTON,NC,Farmworkers,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",25.0,35.0,9.87,Hour,Salemburg,NC,Individual Employer
6153,H-300-14084-822106,2014-04-23 12:57:53,H-2A,2014-03-25 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-06-01 00:00:00,2015-04-01 00:00:00,2014-06-01 00:00:00,2015-04-01 00:00:00,Louisiana Alligator Industries Inc,310 Simmons Road,P O Box 477 Washington LA 70589 (Mailing),Port Barre,LA,70577,CAJUN VISA COMPANY INC,CHRISTY CARTAGINESE,LIVINGSTON,LA,Alligator Farmworker,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",3.0,35.0,9.87,Hour,Port Barre,LA,Individual Employer
6154,H-300-14084-971950,2014-04-04 14:17:36,H-2A,2014-03-25 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-06-01 00:00:00,2014-10-20 00:00:00,2014-06-01 00:00:00,2014-10-20 00:00:00,Katie Santos Inc,1154 Finks Hidaway Road,,Monroe,LA,71203,CAJUN VISA COMPANY INC,CHRISTY CARTAGINESE,LIVINGSTON,LA,Farmworkers,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",20.0,35.0,9.87,Hour,Monroe,LA,Individual Employer
6155,H-300-14085-008378,2014-04-07 15:34:11,H-2A,2014-03-26 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-05-11 00:00:00,2014-11-25 00:00:00,2014-05-11 00:00:00,2014-11-25 00:00:00,"Belvedere Plantation, Inc.",1410 Belvedere Dr.,"mailing: 1410 Belvedere Dr., Fredericksburg, VA  22408",Fredericksburg,VA,24408,"MAS Labor H-2A, LLC",Elizabeth Whitley,Lovingston,VA,Agricultural Equipment Operator,45-2091,Agricultural Equipment Operators,4.0,35.0,9.87,Hour,Fredericksburg,VA,Individual Employer
6156,H-300-14085-061625,2014-04-10 11:31:30,H-2A,2014-03-26 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-05-10 00:00:00,2014-11-12 00:00:00,2014-05-10 00:00:00,2014-11-12 00:00:00,J&F FARMS INC,120 CHESTER RD,,DERRY,NH,03038,New England Apple Council Inc,JOSEPH YOUNG,GOFFSTOWN,NH,farmworker and laborer crop,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",4.0,40.0,11.22,Hour,DERRY,NH,Association - Filing as Agent (H-2A Only)
6157,H-300-14085-096174,2014-04-29 11:31:00,H-2A,2014-03-27 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-06-05 00:00:00,2015-01-30 00:00:00,2014-06-05 00:00:00,2015-01-30 00:00:00,Courtney Farms LLC,6843 Vigo Road,,Bagdad,KY,40003,Agriculture Workforce Management Association,DONNA CARPENTER,LEXINGTON,KY,"FARM WORKERS & LABORERS, CROP",45-2092,"Farmworkers and Laborers, Crop, Nursery, and",12.0,40.0,10.1,Hour,Bagdad,KY,Association - Filing as Agent (H-2A Only)
6158,H-300-14085-109346,2014-04-15 15:22:36,H-2A,2014-03-26 00:00:00,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2014-05-15 00:00:00,2014-07-31 00:00:00,2014-05-15 00:00:00,2014-07-31 00:00:00,"R & R Harvesting, Inc",4269 State Rd. 29 South #6,,LaBelle,FL,33935,"H2A Complete II, Inc",Terri Forrester,Southaven,MS,"Farm Worker, Crops",45-2092,"Farmworkers and Laborers, Crop, Nursery, and",50.0,35.0,10.0,Hour,Tifton,GA,H-2A Labor Contractor or Job Contractor
6159,H-300-14085-211884,2014-05-06 15:13:50,H-2A,2014-03-31 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-06-07 00:00:00,2014-11-07 00:00:00,2014-06-07 00:00:00,2014-11-07 00:00:00,JERRY LYNN MILLER,13894 State Route 97,,Farmington,KY,42040,Agriculture Workforce Management Association,Donna Carpenter,LEXINGTON,KY,"FARM WORKERS & LABORERS, CROP",45-2092,"Farmworkers and Laborers, Crop, Nursery, and",4.0,40.0,10.1,Hour,Farmington,KY,Association - Filing as Agent (H-2A Only)
6160,H-300-14085-252500,2014-04-14 16:13:10,H-2A,2014-03-26 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-05-19 00:00:00,2014-12-05 00:00:00,2014-05-19 00:00:00,2014-12-05 00:00:00,Robert E Anderson,3338 County Rd. 1015,,Bardwell,KY,42023,International Labor Management Coporation,Christi Tabaretti,Vass,NC,Farmworker; Diversified,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",6.0,40.0,10.1,Hour,Bardwell,KY,Individual Employer
6161,H-300-14085-354025,2014-04-18 10:26:44,H-2A,2014-03-31 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-05-19 00:00:00,2015-03-15 00:00:00,2014-05-19 00:00:00,2015-03-15 00:00:00,"RICETEC, INC.","13100 SPACE CENTER BLVD., SUITE 300",,HOUSTON,TX,77059,"FOSTER QUAN, LLP",STEPHANIE PAVER,AUSTIN,TX,Farmworker,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",5.0,48.0,10.86,Hour,Danbury,TX,Individual Employer
6162,H-300-14085-440637,2014-05-01 12:41:27,H-2A,2014-03-26 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-05-24 00:00:00,2014-10-31 00:00:00,2014-05-24 00:00:00,2014-10-31 00:00:00,POPE BROS. FARM,646 ZELMA RD,,KENLY,NC,27542,ANDREW JACKSON LAW,ANDREW JACKSON,CLINTON,NC,FARMWORKERS & LABORERS,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",7.0,35.0,9.87,Hour,Kenly,NC,Individual Employer
6163,H-300-14085-479702,2014-04-23 15:54:59,H-2A,2014-03-26 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-05-23 00:00:00,2014-12-15 00:00:00,2014-05-23 00:00:00,2014-12-15 00:00:00,JASON CHARLES PRODUCE,1803 Rohrerstown Road,,Lancaster,PA,17601,USA WORKS,E. Gaither,Lake Park,GA,Farm Worker,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",5.0,35.0,11.06,Hour,Lancaster,PA,Individual Employer
6164,H-300-14085-484522,2014-05-09 15:48:21,H-2A,2014-03-27 00:00:00,DETERMINATION ISSUED - PARTIAL CERTIFICATION,2014-06-02 00:00:00,2014-10-31 00:00:00,2014-06-02 00:00:00,2014-10-31 00:00:00,Washington Farm Labor Association,8830 Tallon Lane NE,Suite C,Lacey,WA,98516,,,,,Farm worker,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",119.0,40.0,11.87,Hour,Selah,WA,Association - Joint Employer (H-2A Only)
6165,H-300-14085-484522,2014-05-09 15:48:21,H-2A,2014-03-27 00:00:00,DETERMINATION ISSUED - PARTIAL CERTIFICATION,2014-06-02 00:00:00,2014-10-31 00:00:00,2014-06-02 00:00:00,2014-10-31 00:00:00,Washington Agri Management LLC,252 N. Rushmore Rd.,,Selah,WA,98942,,,,,Farm worker,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",40.0,40.0,11.87,Hour,Selah,WA,
6166,H-300-14085-484522,2014-05-09 15:48:21,H-2A,2014-03-27 00:00:00,DETERMINATION ISSUED - PARTIAL CERTIFICATION,2014-06-02 00:00:00,2014-10-31 00:00:00,2014-06-02 00:00:00,2014-10-31 00:00:00,Liberty Zillah Orchard LLC,252 N. Rushmore Rd.,,Selah,WA,98942,,,,,Farm worker,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",40.0,40.0,11.87,Hour,Selah,WA,
6167,H-300-14085-484522,2014-05-09 15:48:21,H-2A,2014-03-27 00:00:00,DETERMINATION ISSUED - PARTIAL CERTIFICATION,2014-06-02 00:00:00,2014-10-31 00:00:00,2014-06-02 00:00:00,2014-10-31 00:00:00,Monson LLC,252 N. Rushmore Rd.,,Selah,WA,98942,,,,,Farm worker,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",39.0,40.0,11.87,Hour,Selah,WA,
6168,H-300-14085-523499,2014-04-23 14:26:31,H-2A,2014-03-26 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-06-02 00:00:00,2014-11-21 00:00:00,2014-06-02 00:00:00,2014-11-21 00:00:00,WILLIAM D JONES & SON FARMS,1840 MILL CREEK RD,,PURYEAR,TN,38251,"KY. FARMERS AID, INC",MELISSA GREEN,MURRAY,KY,FARM WORKER/LABORER,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",6.0,40.0,10.1,Hour,PURYEAR,TN,Individual Employer
6169,H-300-14085-589856,2014-04-17 15:40:18,H-2A,2014-03-26 00:00:00,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2014-05-15 00:00:00,2014-07-31 00:00:00,2014-05-15 00:00:00,2014-07-31 00:00:00,"R & R Harvesting, Inc",4269 State Rd. 29 South #6,,LaBelle,FL,33935,"H2A Complete II, Inc",Terri Forrester,Southaven,MS,"Farm Worker, Crops",45-2092,"Farmworkers and Laborers, Crop, Nursery, and",72.0,35.0,10.0,Hour,Vienna,GA,H-2A Labor Contractor or Job Contractor
6170,H-300-14085-604558,2014-04-24 14:47:32,H-2A,2014-03-31 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-06-06 00:00:00,2014-12-15 00:00:00,2014-06-06 00:00:00,2014-12-15 00:00:00,Jeffery Jordan,7413 Allegre Road,,Elkton,KY,42220,Agriculture Workforce Management Association,Donna Carpenter,LEXINGTON,KY,"FARM WORKERS & LABORERS, CROP",45-2092,"Farmworkers and Laborers, Crop, Nursery, and",2.0,40.0,10.1,Hour,Elkton,KY,Association - Filing as Agent (H-2A Only)
6171,H-300-14085-618356,2014-04-11 13:08:19,H-2A,2014-03-26 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-05-12 00:00:00,2015-01-15 00:00:00,2014-05-12 00:00:00,2015-01-15 00:00:00,"Eugene Gravois Services, Inc.",3964 Highway 1,,Napoleonville,LA,70390,"ASHLEY FORET DEES, IMMIGRATION LAW",ASHLEY DEES,LAKE CHARLES,LA,Farm worker,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",60.0,40.0,9.87,Hour,Donaldsonville,LA,Individual Employer
6172,H-300-14085-751402,2014-04-11 16:16:49,H-2A,2014-03-26 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-05-12 00:00:00,2014-12-01 00:00:00,2014-05-12 00:00:00,2014-12-01 00:00:00,Candella's Farm & Greenhouses LLC,9256 River Road,,Marcy,NY,13403,,,,,Farmworkers and Laborers-Crop,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",2.0,42.0,11.22,Hour,Marcy,NY,Individual Employer
6173,H-300-14085-771715,2014-04-16 16:09:53,H-2A,2014-03-26 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-05-19 00:00:00,2014-11-30 00:00:00,2014-05-19 00:00:00,2014-11-30 00:00:00,"S&J Harvesting, LLC",1139 Country Road # 404,,Uvalde,TX,78801,"SLR LABOR WORKS, LLC",GLORIA RODRIGUEZ,SAN ANTONIO,TX,Agricultural Equipment Operators,45-2091,Agricultural Equipment Operators,13.0,40.0,10.86,Hour,Uvalde,TX,Individual Employer
6174,H-300-14085-850887,2014-05-19 14:43:08,H-2A,2014-03-26 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-06-12 00:00:00,2014-12-01 00:00:00,2014-06-12 00:00:00,2014-12-01 00:00:00,"MHW, LLC",1230 BELL HOLLOW RD,,VANLEER,TN,37181,"KY. FARMERS AID, INC",MELISSA GREEN,MURRAY,KY,FARM WORKER/ LABORER,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",6.0,40.0,10.1,Hour,VANLEER,TN,Individual Employer
6175,H-300-14085-889587,2014-05-01 09:39:58,H-2A,2014-03-27 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-06-05 00:00:00,2014-12-20 00:00:00,2014-06-05 00:00:00,2014-12-20 00:00:00,Harold Dwight Faulkner,204 Commerce Lane,,Somerset,KY,42501,Agriculture Workforce Management Association,Donna Carpenter,LEXINGTON,KY,"FARM WORKERS & LABORERS, CROP",45-2092,"Farmworkers and Laborers, Crop, Nursery, and",3.0,40.0,10.1,Hour,Somerset,KY,Association - Filing as Agent (H-2A Only)
6176,H-300-14085-908274,2014-04-15 08:51:22,H-2A,2014-03-26 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-05-19 00:00:00,2014-11-10 00:00:00,2014-05-19 00:00:00,2014-11-10 00:00:00,Bauer Honey Inc,400 NP Drive SW,,Fertile,MN,56540,International Labor Management Corp,Christi Tabaretti,Vass,NC,Beekeeper,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",10.0,40.0,11.49,Hour,Fertile,MN,Individual Employer
6177,H-300-14085-915862,2014-04-17 11:58:36,H-2A,2014-03-26 00:00:00,DETERMINATION ISSUED - DENIED,2014-05-15 00:00:00,2015-05-01 00:00:00,2014-05-15 00:00:00,2015-05-01 00:00:00,"TIM'S TREE SERVICE, INC.",PO BOX 453,2250 PINE KNOB RD,LEXINGTON,TN,38351,,,,,Heavy Equipment Operator,45-4022,Logging Equipment Operators,0.0,40.0,21.5,Hour,Lexington,TN,Individual Employer
6178,H-300-14085-917641,2014-04-18 15:30:57,H-2A,2014-03-26 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-05-19 00:00:00,2014-12-01 00:00:00,2014-05-19 00:00:00,2014-12-01 00:00:00,DREW RAWLS,3778 W. S. Rawls Road,,Springfield,TN,37172,International Labor Management Corporation,Christi Tabaretti,Vass,NC,Farmworker; Diversified,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",3.0,40.0,10.1,Hour,Springfield,TN,Individual Employer
6179,H-300-14086-001076,2014-04-29 15:01:46,H-2A,2014-03-28 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-06-01 00:00:00,2014-11-15 00:00:00,2014-06-01 00:00:00,2014-11-15 00:00:00,"FEATHERSTONE FRUITS & VEGETABLES, LLC",43090 City Park Rd.,,Rushford,MN,55971,"HEAD HONCHOS, LLC",TODD MILLER,SAN ANTONIO,TX,"Farmworker, Laborer, Crop",45-2092,"Farmworkers and Laborers, Crop, Nursery, and",17.0,40.0,11.49,Hour,Rushford,MN,Individual Employer
6180,H-300-14086-065974,2014-04-24 11:58:27,H-2A,2014-03-27 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-05-11 00:00:00,2014-12-01 00:00:00,2014-05-11 00:00:00,2014-12-01 00:00:00,Next Generation Pork Inc.,201 South Broadway Street,,LeRoy,MN,55951,THE BERNARD FIRM P.L.C.,Aaron Bernard,IOWA FALLS,IA,Farm Worker/Laborer,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",2.0,40.0,11.49,Hour,Spring Valley,MN,Individual Employer
6181,H-300-14086-114988,2014-04-10 15:22:41,H-2A,2014-03-27 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-05-24 00:00:00,2014-11-15 00:00:00,2014-05-24 00:00:00,2014-11-15 00:00:00,Pine Tree Apple Orchard,450 Apple Orchard,,White Bear Lake,MN,55110,SOUTHERN IMPACT,LESLI DOWNS,Fairview,OK,Farmworker,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",8.0,36.0,11.49,Hour,White Bear Lake,MN,Individual Employer
6182,H-300-14086-159456,2014-04-16 15:23:58,H-2A,2014-03-27 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-05-26 00:00:00,2014-12-20 00:00:00,2014-05-26 00:00:00,2014-12-20 00:00:00,"COLEMAN FARMS, LLC",625 BROWNS GROVE RD,,MURRAY,KY,42071,"KY. FARMERS AID, INC",MELISSA GREEN,MURRAY,KY,FARM WORKER/ LABORER,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",3.0,40.0,10.1,Hour,MURRAY,KY,Individual Employer
6183,H-300-14086-183826,2014-04-16 15:13:45,H-2A,2014-03-27 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-06-15 00:00:00,2014-11-30 00:00:00,2014-06-15 00:00:00,2014-11-30 00:00:00,FPS FARMS,2970 NEW PROVIDENCE RD,,MURRAY,KY,42071,"KY. FARMERS AID, INC",MELISSA GREEN,MURRAY,KY,FARM WORKER/ LABORER,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",4.0,40.0,10.1,Hour,MURRAY,KY,Individual Employer
6184,H-300-14086-222958,2014-04-18 16:28:04,H-2A,2014-03-27 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-05-20 00:00:00,2014-11-07 00:00:00,2014-05-20 00:00:00,2014-11-07 00:00:00,WASHINGTON FARM LABOR ASSOCIATION,8830 TALLON LANE NE SUITE C,,LACEY,WA,98516,,,,,FARM WORKER/LABORER,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",48.0,35.0,11.87,Hour,ROYAL CITY,WA,Association - Joint Employer (H-2A Only)
6185,H-300-14086-222958,2014-04-18 16:28:04,H-2A,2014-03-27 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-05-20 00:00:00,2014-11-07 00:00:00,2014-05-20 00:00:00,2014-11-07 00:00:00,RANDY ALLRED ORCHARDS LLC,14368 ROAD 12.5 SW,,ROYAL CITY,WA,99357,,,,,FARM WORKER/LABORER,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",24.0,35.0,11.87,Hour,ROYAL CITY,WA,
6186,H-300-14086-222958,2014-04-18 16:28:04,H-2A,2014-03-27 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-05-20 00:00:00,2014-11-07 00:00:00,2014-05-20 00:00:00,2014-11-07 00:00:00,Warren Morgan Orchards,22532 ROAD 9 NW,,QUINCY,WA,98848,,,,,FARM WORKER/LABORER,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",24.0,35.0,11.87,Hour,ROYAL CITY,WA,
6187,H-300-14086-242917,2014-05-08 16:12:55,H-2A,2014-03-27 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-05-26 00:00:00,2014-11-15 00:00:00,2014-05-26 00:00:00,2014-11-15 00:00:00,Reynaldo Galarza,304 Dozier Ln,P.O. Box 786,Chadbourn,NC,28431,"CCH BOOKKEEPING, INC.",YOLANDA CELAYA,LAKE PLACID,FL,Harvest worker,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",49.0,36.0,9.87,Hour,Chadbourn,NC,H-2A Labor Contractor or Job Contractor
6188,H-300-14086-271503,2014-04-28 14:33:27,H-2A,2014-03-27 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-05-31 00:00:00,2014-12-19 00:00:00,2014-05-31 00:00:00,2014-12-19 00:00:00,"FAULKNER FARMS, LLC",3161 FAULKNER RD.,,KINSTON,NC,28501,ANDREW JACKSON LAW,ANDREW JACKSON,CLINTON,NC,Farmworkers & Laborers,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",10.0,35.0,9.87,Hour,Kinston,NC,Individual Employer
6189,H-300-14086-317086,2014-04-08 09:30:29,H-2A,2014-03-27 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-05-22 00:00:00,2015-01-01 00:00:00,2014-05-22 00:00:00,2015-01-01 00:00:00,CHERRY FARMS ASSOCIATION,1923 ELMOS RD,,WINGO,KY,42088,"KY. FARMERS AID, INC",MELISSA GREEN,MURRAY,KY,FARM WORKER/ LABORER,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",2.0,40.0,10.1,Hour,WINGO,KY,Individual Employer
